"group","doc_id","unique_phrase_id","sentences","date"
1,202003261,"202003261_36","Puis là je veux dire aux Québécois, là, il ne faut pas être gêné d'aller dans une banque alimentaire. Ce n'est pas votre faute si vous avez perdu votre emploi dans les derniers jours, dans les dernières semaines. Donc, il n'y a pas de gêne à aller dans les banques alimentaires. Bon, on va s'assurer qu'il y ait assez d'argent pour acheter toute la nourriture qui est nécessaire. Évidemment, vous me voyez venir, ça va nous prendre plus de bénévoles. Donc, tantôt, Jean va vous expliquer, on a mis en place un portail, donc, sur Internet, un portail Web où, d'un côté, les organismes qui ont besoin d'aide... bon, il y a des banques alimentaires, mais il y a aussi, bon, toutes sortes de problèmes de santé mentale puis dans plusieurs domaines. Jean va vous en parler tantôt. Donc, tous les organismes qui manquent de bénévoles vont pouvoir s'inscrire sur le portail et tous les Québécois qui veulent faire du bénévolat, qui peuvent faire du bénévolat, bien, aujourd'hui, c'est mon appel du jour. S'il vous plaît, là, tous les Québécois, là, qui n'ont pas de symptôme, qui ont moins de 70 ans, qui ont du temps de disponible, qui n'ont pas de jeunes enfants ou peu importe, qui ont perdu leur travail, bien, s'il vous plaît, allez faire du bénévolat. C'est important. Puis, bien, mon merci du jour, c'est justement aux bénévoles. Donc, je veux le dire, il y en a déjà beaucoup qui font du bénévolat. Je pense, entre autres, puis je veux dire un mot spécial, tous ceux qui travaillent dans les municipalités, que ce soient maires, mairesses, les élus, les employés, il y en a beaucoup, là, on me donne des beaux exemples de gens qui vont aider dans les banques alimentaires, dans les différents organismes. Donc, merci du fond du coeur à tous les bénévoles au Québec. Par contre, puis avant que le Dr Arruda le dise, c'est important que les bénévoles qui vont dans les organismes respectent les consignes. Donc, ce que ça veut dire, concrètement... je pense aux banques alimentaires, il peut y avoir beaucoup de gens. Donc, il va falloir contrôler pour ne pas qu'il y ait des rassemblements, donc malheureusement d'attendre en ligne avec une distance d'un à deux mètres; évidemment, ceux qui servent, se laver les mains régulièrement, très, très important.",2020-03-26
2,202003261,"202003261_120","Qui doit porter des simples masques? Tu sais, il y a les travailleurs sociaux qui veulent porter des masques aussi. Qui doivent les porter ces masques-là? M. Arruda (Horacio) : Votre question est importante, mais je vais vous dire, dans les faits, les gens qui vont avoir à donner des soins directement, en milieux de soins, là, je veux dire, on n'est pas en transporté... le patient est probablement COVID-19, il faut lui faire un prélèvement en particulier, se rapprocher de lui, là. À ce moment-là et selon certaines conditions, tout dépendamment de l'acte qui va être posé, particulièrement quand il va générer des aérosols, les gens vont prendre un N95, vont avoir une visière puis etc. Il faut comprendre que nos recommandations sont les mêmes qu'un peu partout dans le monde. Le masque entraîne énormément de questionnements, parce que tout le monde pense qu'en portant un masque, qu'ils sont protégés, là. Puis l'utilisation du masque, elle a différentes utilités. Le masque de procédure, par exemple, va être offert aux gens qui vont se présenter en milieu de soins avec des symptômes pour ne pas qu'ils contaminent les autres. Quand on est dans... Et là ce qui se passe, c'est, tout dépendamment du type, les ambulanciers, par exemple, qui vont chercher quelqu'un qui est en N95, qui pourraient avoir à faire une réanimation ou quoi que ce soit, vont avoir l'équipement professionnel. Donc, chacune des situations est analysée pour faire la bonne intervention, parce qu'on veut ni infecter les infirmières, ni infecter les pompiers, ni les policiers, ni infecter... Donc, selon le niveau de risque et le travail qui va être fait, on va le faire. C'est sûr que, dans un hôpital, les unités particulières où il va y avoir du COVID-19 vont peut-être avoir un matériel qui va être différent d'une unité qui n'est pas infectée. Donc, tout ça, là, est actuellement en train de se faire. Comme le dit le premier ministre, partout dans le monde, on a réservé l'usage des masques avec une saine gestion. Vous savez, les masques, habituellement, ça traînait partout dans l'hôpital; maintenant, on doit s'assurer de le faire. Il y a eu certains enjeux, la ministre McCann l'a dit, de distribution, c'est-à-dire qu'on... Il n'y a personne qui a manqué de matériel, en tout cas, à notre connaissance, à date, mais il y a du monde qui avait des inquiétudes parce qu'ils voyaient la... ce qu'ils voyaient physiquement, là, était en train de fondre. Il y a de la redistribution qui est faite d'un établissement à l'autre, selon le monitoring. Et je tiens à vous dire aussi, quelque part, c'est que tout le Québec est en train de faire, comme ailleurs, toutes sortes de demandes et de commandes, là, puis je ne peux pas vous dire exactement, etc., mais il va y avoir une augmentation très significative des masques. On a même prévu, à moyen et long terme, en fabriquer au Québec comme tel, mais actuellement... Et je comprends ce que les gens rapportent, des gens se disent : Bien, moi, je ne vois plus de masques. Il y a des gens qui ont volé des masques aussi. On ne peut pas se permettre de voler des masques, il faut les garder pour les choses les plus critiques. Bon, donc, de façon générale, puis je l'ai dit, le masque dans la communauté, vous n'êtes pas malade, vous n'avez pas de symptôme, ce n'est pas la chose qui est importante, c'est la distanciation physique. Puis là je vais me permettre de poser un élément, là. On dit aujourd'hui, on fait appel à la solidarité. Le mot «distanciation sociale» donne l'impression qu'on ne veut plus que les gens aient de relation les uns avec les autres. Il y a le Web, il y a parler à quelqu'un à deux mètres, c'est un élément, les bénévoles... Donc, on devrait parler de distanciation physique, là. Ce n'est pas que les gens prennent de la distance par rapport à leur famille ou etc. Les gens me donnaient cet élément-là. Donc, je pense qu'actuellement, là... puis là je tiens à le dire aussi, un autre élément que je veux absolument profiter pour vous le dire, actuellement, là, on est rendus... le virus est au Québec, hein? S'il y en a qui pensent qu'il n'est pas au Québec, là, vous n'avez rien qu'à voir le nombre de cas qu'on démontre puis il y a des gens qui meurent.",2020-03-26
3,202003261,"202003261_331","Donc, on s'aperçoit qu'il y a moins de patients hospitalisés, mais que le nombre de patients en soins intensifs est beaucoup plus important que ce qui était envisagé. Donc, est-ce que cette mesure-là vous inquiète et est-ce que vous avez revu certaines stratégies pour la prévenir? M. Arruda (Horacio) : Dans les faits, ce qu'on a prévu le plus, c'est de s'assurer d'avoir la capacité de traiter les patients aux soins intensifs, de ne pas se retrouver dans une situation difficile. Et l'autre élément, c'est que c'est normal qu'en début de situation, qu'on observe les cas plus sévères, parce qu'ils se rendent aux soins intensifs. Donc, il faut faire très attention aux calculs de proportion quand on est au début. C'est de valeur, là, mais... puis ça, ça a été vrai dans tous les scénarios qui ont été faits pour les maladies infectieuses, les débuts d'estimation sont excessivement difficiles parce qu'on n'a pas atteint la stabilité puis le nombre de choses... on n'a pas les données sur tous les cas qui existent dans la population, qui n'ont pas été... Il y a peut-être du monde bien asymptomatiques qui l'ont fait, ils ne s'en sont pas rendu compte. Donc, pour le moment, on surveille la chose, mais indépendamment de nos... Ce n'est pas de la projection qu'on cherche, c'est de s'assurer qu'on puisse traiter les patients adéquatement. Je ne sais pas si vous comprenez, là. Dans le fond, si on s'est trompé puis qu'on en a plus que ce qu'on prévoyait à cette date-là, ce n'est pas ça qui m'importe, c'est qu'on soit capable de les traiter. Mme Lévesque (Fanny) : En Ontario, la Santé publique tient un registre qui est publié, là, sur leur site. On a vraiment le détail du nombre de cas. Chaque cas est numéroté, on peut savoir le sexe, l'âge de la personne, le lieu de... pas de résidence, là, la ville exactement, mais la région ou à quelle direction régionale... elle est là.",2020-03-26
1,202003271,"202003271_40","Puis quand on parle de, par exemple, aider les personnes de 70 ans et plus à aller, pour eux autres, chercher à manger, bien, ça prend des bénévoles. Quand on parle d'avoir des banques alimentaires pour donner de la nourriture à ceux qui en ont besoin, bien, ça prend des bénévoles. Donc, le bénévolat, on ne parle pas de bénévolat social, là, de façon générale, on parle de bénévolat pour donner des services essentiels, comme de nourrir tout le monde. Donc, on reste à la maison sauf si on va chercher des services essentiels ou on donne des services essentiels. Bon, maintenant, les marches, les fameuses marches, là. Je vois qu'il fait plus beau qu'un peu plus tôt ce matin, en tout cas, à Québec. C'est important d'aller prendre des marches. Vous pouvez aller prendre des marches, mais, si vous allez prendre des marches, vous faites attention de rester à deux mètres des autres personnes. Si vous êtes infecté par le virus, si vous avez des symptômes du virus, vous n'allez pas prendre de marches. Bon, maintenant, il y a toute la question des voyageurs, là. Il faut comprendre. Les gens qui reviennent, qui sont revenus dans les derniers jours, vous êtes beaucoup plus à risque que la moyenne des Québécois d'avoir le virus, donc, de le donner. Donc, idéalement, vous restez à la maison. Si vous voulez absolument aller prendre une marche, je parle des gens qui viennent de voyager, bien, c'est encore plus important pour vous autres de rester à deux mètres parce que vous êtes à risque d'avoir le virus. Donc, évidemment, on ne veut pas le donner aux autres. Bon, une consigne qui devient importante, là, puis je vous avais promis de vous dire tout le temps toute la vérité puis de prévenir, quand on parle de la circulation entre les régions, quand on regarde les chiffres actuellement, il y a deux régions qui sont plus affectées que les autres : Montréal et l'Estrie. Donc, ça veut dire deux choses.",2020-03-27
1,202003281,"202003281_126","Mme McCann : En fait, il faut dire que, quand on ferme des régions comme ça, s'il y a des services essentiels nécessaires pour aller prêter main-forte, on les laisse passer. Ça, c'est la première chose. La deuxième chose que je veux dire, c'est que le réseau se prépare depuis trois semaines au moins, et, on l'a dit déjà, on a libéré 7 000 lits dans le réseau de la santé et des services sociaux. Il y a des lits, là, qui sont libérés dans ces régions-là. Nos urgences, d'ailleurs, sont peu occupées, tant mieux, parce qu'on a éliminé certaines activités électives dans toutes les régions du Québec. Alors, pour ces régions-là, comme pour l'ensemble du Québec, on s'est préparés. Et ce que je veux dire aussi, j'en profite pour dire quelque chose qui est très, très important à la population, que, oui, on a la COVID-19, et il faut voir à la situation, mais que, pour toutes les autres problématiques de santé qui nécessitent une intervention d'urgence, nous sommes là. Si vous avez des douleurs thoraciques, pensez que vous faites une crise cardiaque, vous appelez l'ambulance. Si vous avez des symptômes d'accident cardiovasculaire, vous appelez l'ambulance. Alors, moi, je veux lancer ce message-là très fortement, que, oui, on a beaucoup, et c'est normal, mis le focus sur la COVID-19. Mais, comme je l'ai déjà dit, les problématiques, là, qui nécessitent des interventions maintenant, à court terme, qui sont pressantes, qui sont urgentes, nous sommes là pour la population.",2020-03-28
2,202003281,"202003281_138","Donc, vous appelez l'ambulance, et on va faire les interventions nécessaires. Moi, j'entends dire qu'il y a des gens qui sont inquiets, qui ont peur d'aller à l'urgence ou d'aller à l'hôpital parce qu'ils ont peur d'attraper la COVID-19. Il faut dire à ces gens-là qu'on a les mesures de protection pour des problèmes de santé autres que la COVID-19, qui nécessitent une intervention. N'hésitez pas, appelez l'ambulance, rendez-vous à l'urgence, on va s'occuper de vous. Et, si ce n'est pas urgent, mais vous avez besoin d'avoir une intervention, vous pouvez appeler votre médecin, si vous en avez un, dans les cliniques médicales.",2020-03-28
1,202003291,"202003291_55","Donc, ceux qui ont un chalet, bien, si vous êtes à votre chalet, vous restez à votre chalet. Donc, on ne veut pas de gens qui se promènent entre les régions, en particulier, là, la fin de semaine. Les personnes qui restent les plus vulnérables, ce sont nos aînés.",2020-03-29
2,202003291,"202003291_59","Marguerite Blais, notre chère ministre des Aînés, va faire des entrevues d'ici demain ou elle va s'enregistrer, parce que je pense qu'elle va faire un vidéo parce qu'elle est confinée, elle s'est confinée elle-même. Mais ce qu'on veut faire, c'est d'ajouter beaucoup de ressources dans les CHSLD et les résidences de personnes âgées. Donc, il y a trois groupes de personnes qui rentrent et puis qui sortent des résidences : Il y a le personnel, il y a ceux qui viennent livrer la nourriture puis il y a, bien sûr, les résidents eux-mêmes. Donc, ce qu'on veut, là, c'est qu'il y ait plus de contrôle, donc qu'il y ait des gardiens, qu'il y ait des vérifications qui soient faites des symptômes à l'entrée. Donc, je vous le dis depuis le début, là, les endroits où c'est le plus vulnérable, ce sont nos résidences de personnes âgées. Oui, il y en a un certain nombre déjà qui ont des personnes infectées. On prend les mesures. Avec le personnel additionnel qu'on ajoute, on va pouvoir s'assurer encore plus que ces mesures-là soient prises, mais bien sûr, aussi, s'assurer que toutes les personnes qui entrent soient contrôlées pour ne pas apporter le virus. Mes remerciements du jour : les livreurs de nourriture. On a actuellement des personnes aînées à qui on demande de rester à la maison, des personnes qui sont en quarantaine, des personnes qui sont vulnérables, des personnes qui n'ont pas l'argent pour acheter la nourriture, donc, qui ont besoin de l'aide des banques alimentaires. Donc, il y a beaucoup, beaucoup, je pense, entre autres, beaucoup de jeunes, là .Ça, ça m'impressionne, et j'aime ça de voir ça. Donc, tous les livreurs de nourriture, merci beaucoup pour ce que vous faites, là, vous avez vraiment entre vos mains un service qui est essentiel.",2020-03-29
3,202003291,"202003291_133","O.K.? Puis là vous allez peut-être me dire : Bien, on voyage autant à Toronto, il y a autant de personnes qui viennent. Ça dépend où ils sont allés, quel est le profil des voyageurs, comment, au retour, les gens se sont comportés pour être capables de contenir la situation. Puis là, là, je tiens à vous le dire, là, puis j'ai demandé à mes experts : Il est trop tôt. Je sais que c'est... puis nous, on aimerait ça, on est les premiers à vouloir comprendre. Mais ce que fait l'Ontario en termes de test, sa stratégie de test... Nous, là, on a beaucoup de gens qui sont testés qui ont entre 20 et 69 ans, là, la. Deux tiers des gens testés ont entre 20 et 69 ans. C'est des gens qui ont probablement peu de symptômes, puis etc. Puis je ne sais pas quelle est la stratégie de test qu'a employée l'Ontario. La Colombie-Britannique est antérieure à nous. Il y a des phénomènes qu'il faut être capable d'analyser, et ce n'est... Je vous le dis, là, il y a peut-être des gens qui vont vouloir faire des comparaisons, faire des calculs puis des taux, moi, je ne suis pas en mesure de vous donner une information qui permette de comparer de façon importante. C'est sûr que la question de l'évolution de la pandémie, comment ça s'est présenté au Québec par rapport à ailleurs, il y a comment est-ce qu'on teste nos hospitalisations et nos décès, il y a la façon dont on utilise les diagnostics, il y a la façon dont on a mis les mesures en place. Donc, tout ça doit être analysé. Puis ce n'est malheureusement... c'est plate, ça, c'est dans quelque temps qu'on va être capable de vérifier. Parce que même entre ce que vous pouvez regarder, ce qui est inscrit dans le site Web du gouvernement comme étant l'ordonnance, ce qui est pratiqué sur le terrain peut être différent.",2020-03-29
4,202003291,"202003291_194","Donc, ça, c'est important. Donc, lavez-vous les mains, changez-vous puis lavez-vous les mains. Je pense que c'est ça qui est important. Bon, je peux imaginer aussi, je me suis promené un peu sur les trottoirs puis sur les plaines, c'est sûr que, sur les plaines, c'est plus large, c'est plus facile de garder le deux mètres. Parfois, sur le trottoir, quand un couple rencontre un autre couple, c'est plus difficile, donc, mais on prend le temps, on se met à la file indienne puis on prend le temps, il n'y a pas rien de pressé. Mais le mobilier, je ne pense pas que c'est un gros problème. M. Arruda (Horacio) : Vous avez tout à fait raison. Il faut premièrement comprendre qu'on dit aux gens qui ont des symptômes de ne pas sortir. Ça fait que quelqu'un qui a le gros rhume, là, qui se mettrait à éternuer sur un banc public, là, je pense que... un, on lui demande d'avoir une étiquette respiratoire puis de ne pas le faire. Habituellement, quand on s'assoit dans un banc public, on ne le lèche pas, on s'assoit avec nos fesses puis on essaie de garder nos mains, là, sans nécessairement toucher. Ça fait que, là, le pantalon, mettons qu'il y a des sécrétions qui se sont mises là, on va le changer, on va se laver. Je ne sais pas si vous comprenez, là, mais il faut vraiment savoir que c'est les mains, c'est les zones «high touch». Si je vais prendre le métro, puis que les gens n'ont pas trop de symptômes, puis qu'on a une certaine... des fois, il n'y a pas de distanciation possible, mais que je touche au... Tu sais, ça se peut qu'ils les désinfectent, là, mais que la dernière personne qui l'a touché, elle, elle est contagieuse. Ça fait que moi, je me lave les mains. C'est vraiment ça, comme tel. Ce n'est pas non plus un virus qui va vous sauter dessus, qui va partir de la sécrétion qui est là puis vous rentrer dans la face si vous ne touchez pas. Si vous touchez au banc puis que vous vous mettez ça dans la figure... Vous comprenez? C'est pour ça que, quelque part, les objets, oui, dans les maisons, si quelqu'un est malade, les salles de bain, on essaie de contrôler ça. Mais c'est un peu cette logique-là, là, que je voulais vous exprimer par l'illustration que je vous donne. Le Modérateur : Alain Laforest, TVA.",2020-03-29
