group,doc_id,unique_phrase_id,sentences,date,frame,check
1,202003111,202003111_27,"Alors, pour les différents événements internationaux, alors vous allez comprendre que la santé publique va s'ajuster selon l'évolution de la situation au Québec. Aussi, comme vous l'avez probablement vu aujourd'hui, l'Organisation mondiale de la santé a déclaré aujourd'hui que l'épidémie du COVID-19 était maintenant considérée comme une pandémie. Alors, le directeur national de la santé publique va vous donner plus de détails à ce sujet. Mais je veux vous dire que le Québec, depuis le début, est proactif et a pris les mesures nécessaires pour limiter la propagation dans la communauté sans attendre cette confirmation-là de l'Organisation mondiale de la santé. Nos protocoles illustrent un haut niveau de préparation pour faire face à ce type de situation. Et je rappelle à la population que, si un citoyen est inquiet de sa santé, qu'il revient de voyage et qu'il a des symptômes qui s'apparentent au COVID-19, d'appeler le 8-1-1. Pour ce qui est des citoyens qui veulent avoir de l'information générale sur le coronavirus ou le COVID-19, le numéro est à Services Québec, 1 877 644-4545. Alors, ces deux numéros ont une vocation très différente. Je vais céder la parole au directeur national de santé publique. Merci. M.",2020-03-11,NA,0
2,202003111,202003111_49,"Et, avec ça, on diminue la probabilité. Et, s'il y a de la transmission, parce qu'on va en avoir, c'est impensable de penser qu'on n'en aura pas, il va y avoir moins de cas qui vont être générés par chacun des cas. Et, à ce moment-là, la courbe, au lieu de monter de cette façon-là, va être beaucoup plus étendue, ce qui permet à notre système de soins d'être en mesure d'adresser la situation. Il faut, d'ores et déjà, comme je l'ai dit, utiliser différentes méthodes. On l'a toujours dit, la chose la plus importante, et je vais le répéter, et le répéter, et le répéter, c'est véritablement ce qu'on appelle l'hygiène respiratoire. Si vous avez des symptômes compatibles, vous revenez de voyage, ce n'est pas le temps d'aller montrer vos photos à vos grands-parents, etc., ce n'est pas le temps d'aller visiter des gens dans les centres d'accueil parce que ces personnes-là sont vulnérables, et il faut donc les protéger. Les différents établissements sont prêts à recevoir les usagers, et quatre centres, vous savez, ont déjà été désignés. Au besoin, dans le cadre d'une planification, il pourrait y avoir d'autres centres qui sont faits. Mais actuellement on est en capacité tout à fait adéquate. Comme disait la ministre, on a un huitième cas, là, on n'a pas une surcharge de cas. Mais on se prépare, advenant le cas que des situations se détérioreraient, parce qu'on ne veut pas être pris à dépourvu. Donc, c'est pour ça qu'on a annoncé des cliniques. L'augmentation des tests se fait actuellement de façon importante. Et on veut être prêts notamment en fonction des retours et des voyages internationaux pour les gens qui ont des symptômes. C'est sûr, comme je l'ai dit, compte tenu de ce qui se passe dans le monde, on s'attend à une hausse de cas. Je vais vous le dire bien honnêtement, des gens me demandaient : Est-ce qu'on va rester avec quelques cas comme ça? Ça serait presque impossible. Je vais vous dire, si ça arrive, si, mettons, je ne sais pas, pour une raison ou une autre, ça arrive, je vais me demander quelle a été la recette vraiment pour laquelle ça se fait. Avec un virus qui rentre dans une population qui est vierge, parce que c'est ça, une pandémie, les gens n'ont pas été exposés, c'est impensable de penser que ça ne va pas venir nous atteindre.",2020-03-11,Mitigation,0
3,202003111,202003111_73,"Les pays qui sont considérés comme étant plus à risque, les pays dont on déconseille le voyagement sont mis à jour sur le site de Santé Canada. Et, bien entendu, tout changement peut être fait au cours des prochains jours. Ça va être important de se tenir informé. Et probablement, aussi, je tiens à vous le dire, dans le contexte où l'information va être souvent fluctuante avec beaucoup d'information, on va probablement aller vers des points de presse plus fréquents, plus réguliers pour que les gens aient vraiment la véritable information. Donc, il faut aussi comprendre que toutes les personnes... Comme l'a dit la ministre, toute personne qui revient de voyage, tous pays confondus, je veux dire, actuellement, là, avec la situation, là, elle devrait surveiller ses symptômes. Donc, ces personnes-là ne doivent pas nécessairement s'auto-isoler. Il y a certains pays, comme le nord de... comme l'Italie, actuellement, là, va s'ajouter à l'Iran et à la région de Hubei, en Chine. Ce qui est important, c'est que, si je suis allé en voyage à l'extérieur, peut-être que je suis en train d'incuber. Même, j'ai passé les douanes, je n'avais pas de symptôme, ça se peut que je sois en train d'incuber. Je commence à présenter de la toux, je commence à avoir des douleurs respiratoires, de la difficulté à respirer, je commence à avoir de la fièvre, on appelle le 8-1-1. Les gens vont vous prendre en charge puis ils vont vous diriger là où le test pourra être fait et vous apporter des conseils. C'est très important de le faire parce que, si vous ne le faites pas et que vous restez dans la communauté, vous allez voir vos parents puis etc., vous allez augmenter le nombre de cas, et c'est une responsabilité de ceux qui reviennent en voyage. Pour ceux qui sont ici, bien entendu, toujours la question de l'hygiène respiratoire et, bien entendu, de prendre soin de soi.",2020-03-11,NA,1
4,202003111,202003111_93,"Actuellement, il n'y a pas de circulation au Québec. C'est la place idéale pour tenir un événement comme tel. Mais on ne veut pas non plus qu'un événement international introduise de façon importante le virus, augmente le potentiel, puis là on se retrouve dans une situation qu'on ne peut pas prévoir. Ça va être des recommandations qui vont être faites actuellement au cas à cas, selon des recommandations de santé publique. Les gens qui reviennent de destinations où l'isolement volontaire est recommandé devraient s'abstenir de participer à des événements où il y a beaucoup de monde parce qu'ils peuvent être en période d'incubation. Les personnes qui présentent des symptômes compatibles avec le COVID ainsi que celles qui ont des conditions sous-jacentes à risque ne devraient pas participer. Je pense que, si on est un grand malade pulmonaire, un diabète mal contrôlé, un malade cardiaque, il va peut-être falloir éviter certains événements. Mais, à mesure que l'épidémiologie va changer, on va vous alerter, on va vous avertir là-dessus. On demande aux organisateurs, bien entendu, de renforcer les pratiques d'hygiène lors d'événements, d'assurer des moyens pour le faire, c'est-à-dire du savon, de l'eau, du rince-mains antiseptique, de prévoir un lieu où les personnes qui, pendant l'événement, développeraient des symptômes de toux, puis etc., puissent être isolées et prises en charge, d'encourager l'utilisation de pratiques alternatives au contact direct, c'est-à-dire ce n'est pas nécessaire de donner des poignées de mains à 3 000 personnes dans un événement, d'éviter le partage de nourriture, des breuvages ou de dispenser... ou augmenter les points de services, c'est-à-dire de ne pas mettre tout le monde à la même place pour les points de service, les bars ou les aliments, favoriser surtout les repas servis en boîte et non pas nécessairement les buffets, qui amènent beaucoup d'interactions entre les individus, de choisir un lieu de rencontre qui permet d'éviter l'entassement, c'est-à-dire un grand espace, ça permet de la distanciation sociale et des conséquences, puis d'échelonner aussi ce qu'on appelle les arrivées puis les départs dans les événements, quand tout le monde arrive en même temps. C'est des conseils qui sont donnés habituellement en lien avec l'organisation quand il y a des phénomènes de la nature de nouveaux virus. Je tiens encore à insister sur les recommandations envers les personnes vulnérables, les gens atteints de cancer, de chimio, particulièrement les personnes âgées. De façon générale, les personnes qui contractent le COVID-19 se remettent sur pied rapidement. Mais la situation peut être très différente pour ces aînés-là et ça pourrait être la cause qui va entraîner une série de complications et amener la mort. Donc, je pense qu'on doit doser cet élément-là. Il est important de prendre certaines précautions. Au niveau des centres pour personnes âgées, au niveau des résidences pour personnes âgées, il faut accentuer les mesures d'hygiène comme telles, à la fois les mesures qui sont prises par l'établissement en fournissant du savon, en s'assurant que des personnes malades ne viennent pas faire la visite, mais aussi à ce que des gens appliquent une bonne étiquette respiratoire. Je pense que c'est très important, je l'ai répété, si vous revenez d'un voyage à l'étranger, abstenez-vous de rendre des visites à ces personnes-là. Puis, si vous avez des symptômes d'allure grippale, il est aussi préférable de leur rendre visite. C'est comme ça aussi qu'on introduit souvent des virus auprès de nos personnes âgées. On va continuer à vous tenir informés, probablement, compte tenu de ce qui va venir, de façon beaucoup plus régulière. Et on est prêts, maintenant, je pense, à répondre à vos questions. M. Laforest (Alain) : Les hôpitaux débordent actuellement, le service... Si vous voulez juste vous approcher du micro.",2020-03-11,Mitigation,0
5,202003111,202003111_125,"On a ce qu'il faut, comme le disait notre directeur national de santé publique, Dr Arruda. Mais effectivement on se prépare. On se prépare avec différents scénarios modérés et plus élevés. Et on est en train de préparer des scénarios où on aurait à délester, par exemple, certaines activités en milieu hospitalier, ce qu'on a fait quand il y a eu le H1N1. Alors, je pense que ça, c'est en préparation extrêmement active. Et on le sait, qu'aussi la plupart des cas, ce sont des cas qui ont des symptômes modérés ou légers. Et l'importance du dépistage... Donc, on a notre première clinique à l'Hôtel-Dieu, qui reçoit les personnes qui veulent avoir le dépistage après avoir appelé le 8-1-1. On a également ouvert hier... plutôt aujourd'hui, excusez-moi, à Québec, une autre clinique de dépistage et d'intervention. Et on va en ouvrir une autre en Montérégie dès le début de la semaine prochaine. L'important, c'est ça, c'est le dépistage, c'est vraiment de contrôler le plus possible... dépistage des cas également... des contacts, plutôt.",2020-03-11,NA,0
6,202003111,202003111_141,"Mais effectivement le point qu'il faut faire, c'est que les mesures dont on parle aujourd'hui, là, c'est ça, c'est le plus important à faire, c'est vraiment les mesures d'hygiène, une responsabilité collective. Et le dépistage qu'on fait avec les contacts, c'est ça qui va faire en sorte, comme le disait Dr Arruda, qu'on va retarder et peut-être assouplir le nombre de cas qui arriveraient au Québec. Mais, de toute façon, on se prépare pour des scénarios plus élevés. M. Bélair-Cirino (Marco) : Pouvez-vous nous en dire davantage sur les huit cas que vous répertoriez? Il y a huit cas confirmés. Donc, vous dites que les personnes présentent des symptômes modérés ou légers. Est-ce qu'on doit comprendre qu'elles ne sont pas hospitalisées, qu'elles sont en quarantaine à la maison? Mme McCann : Oui. 80 % des cas, là, de coronavirus qui sont dépistés sont à la maison. Alors, actuellement, dans les huit cas confirmés, on en a deux qui sont hospitalisés actuellement. Le huitième, évidemment, là, mais je ne pense pas qu'il est hospitalisé aux dernières informations.",2020-03-11,NA,0
1,202003121,202003121_9,"Donc, on a aujourd'hui 13 cas, dont deux qui sont hospitalisés, mais notre défi, au cours des prochaines semaines, c'est de freiner la contagion. Les prochaines semaines vont être critiques, et notre but, c'est de ralentir au maximum la propagation du virus. Donc, notre grande priorité, on aura l'occasion, par exemple, d'économie au cours des prochains jours, mais notre grande priorité actuellement, c'est la santé publique. On doit se protéger, et la meilleure façon de protéger nos proches, c'est de se protéger nous-mêmes. Donc, je veux faire appel à la solidarité des Québécois, au sens des responsabilités de tout le monde. C'est pour ça qu'aujourd'hui je demande à toutes les personnes qui reviennent de l'étranger ou qui ont des symptômes comparables à la grippe de se placer en isolement volontaire pour 14 jours. Donc, toutes les personnes qui reviennent de tous les pays étrangers, je demande de vous mettre en isolement pour 14 jours. Pour les employés de l'État et des réseaux de la santé, de l'éducation, des services de garde, l'isolement va être obligatoire, que ça soit dans le secteur public ou dans le secteur privé. Donc, toutes les personnes qui travaillent dans ces réseaux, qui reviennent de l'étranger, devront obligatoirement se placer en isolement. Toutes ces personnes vont continuer d'être payées. Je parle des personnes qui travaillent dans le secteur public. Pour ce qui est du secteur privé, bon, d'abord, je veux demander aux employeurs d'être compréhensifs. C'est très important que toutes les personnes qui reviennent de l'étranger ou qui soupçonnent d'avoir les symptômes de rester à la maison. On va, dans les prochains jours, annoncer des mesures financières pour compenser ces personnes-là qui travaillent dans le secteur privé. On va aussi, au cours des prochains jours, annoncer des mesures pour aider toutes les entreprises qui ont des problèmes de liquidité dus aux impacts du coronavirus. Donc, on ne va laisser tomber personne. Je demande aussi à tous les organisateurs d'événements intérieurs de plus de 250 personnes d'annuler ces événements et je demande aussi, de façon générale, d'annuler tous les événements qui ne sont pas nécessaires. Je demande aussi à tous ceux qui sont capables de faire du télétravail, de le faire. Évidemment, je le rappelle, il faut se laver les mains régulièrement puis, au moindre doute, il faut s'isoler et il faut aller se faire tester. Je demande évidemment aux Québécois de porter une attention spéciale aux personnes vulnérables, en particulier nos aînés. Que nos aînés habitent dans leur maison ou dans toutes sortes de centres d'hébergement, si vous revenez de l'étranger ou si vous avez des symptômes comparables aux symptômes de la grippe, n'allez pas visiter les aînés. C'est important, ce sont les personnes qui sont les plus à risque. Donc, tout le monde, tous les Québécois doivent faire leur part, mais je veux, en terminant, dire un mot spécial pour tout le personnel du réseau de la santé. Vous êtes actuellement nos anges gardiens. Je veux, au nom de tous les Québécois, vous dire un énorme merci. Je sais que ce n'est pas facile, qu'il y a des heures qui sont longues, que ça va être difficile pendant plusieurs semaines.",2020-03-12,Suppression,0
2,202003121,202003121_104,"Compte tenu de ce qui circule, ça va diminuer au printemps, ça va peut-être reprendre à l'automne, on ne le sait pas encore. Mais, si on est très agressifs maintenant... Puis nous, on a un profil très différent de la Colombie-Britannique. Eux, ce sont des Chinois qui les ont infectés à travers les vols qui sont ici. Nous, la France, l'Italie, ce sont des pays où il y a beaucoup de circulation. Donc, si, au début, on met des mesures importantes, notamment que les gens... parce que les gens peuvent traverser la frontière sans aucun symptôme, mais arrivés ici, être malades puis répandre la maladie ailleurs. Donc, c'est pour ça que le gouvernement joue un rôle de leadership important, à mon avis, ici. C'est de dire : On y va fort au départ pour être capable... Une courbe d'épidémie, au lieu qu'elle soit comme ça, qu'elle monte très haut, puis qu'elle redescende, puis là ici on n'est plus capable de traiter les patients, on manque de soins intensifs, on va étaler la courbe comme ça de telle sorte qu'on va demeurer en capacité. On va sortir aussi de la saison hivernale des grippes et des virus, ce qui va nous aider à faire les diagnostics.",2020-03-12,Suppression,1
3,202003121,202003121_157,"Actuellement, il n'a pas de circulation du virus. Tu sais, des gyms où il y a de la transmission, il n'y en a pas. Mais moi, j'aurais tendance à vous dire, actuellement, certains... C'est clair qu'on vient d'interdire des rassemblements intérieurs en haut de 250. S'il y a des... Un, surtout pas si vous revenez de voyage ou vous commencez à avoir des symptômes, n'allez pas voir nos personnes âgées. Téléphonez-leur. Tu sais, il faut prendre des habitudes. Là, on devrait faire ça dans toutes les saisons de grippes, vous comprenez? Parce que ces gens-là sont très vulnérables. Dans les transports en commun, on va en arriver à dire aussi : Essayez de limiter...",2020-03-12,NA,0
4,202003121,202003121_215,"Je ne sais pas si vous comprenez, là, ça va très vite. Mais, dans nos scénarios, on est en train de les calculer, là. Bien, on va vous les communiquer après validation, etc. parce qu'il faut vérifier aussi la disponibilité de matériel, puis etc., auprès des compagnies. Mais on va le faire. C'est clair qu'on va augmenter la capacité de tests, puis on va utiliser les tests là où c'est nécessaire en priorité, c'est-à-dire sur les personnes qui reviennent de voyage puis qui ont des symptômes. Puis éventuellement, si c'est de la transmission locale, à ce moment-là les tests vont se faire de façon beaucoup plus importante. Mais on n'en est pas là, heureusement. M. Lecavalier (Charles) : Et en ce moment il y a combien de lits, là, d'urgence, là, qui sont disponibles pour l'épidémie... la pandémie de coronavirus? Mme McCann : Bien, ce qu'on peut vous dire, c'est qu'on a fait le relevé des chambres à pression négative. Ça, c'est des chambres très importantes, là, pour des troubles respiratoires comme le coronavirus, des gens qui nécessiteraient une hospitalisation.",2020-03-12,NA,0
