group,doc_id,unique_phrase_id,sentences,date,frame,check
1,202003111,202003111_85,"C'est très important de le faire parce que, si vous ne le faites pas et que vous restez dans la communauté, vous allez voir vos parents puis etc., vous allez augmenter le nombre de cas, et c'est une responsabilité de ceux qui reviennent en voyage. Pour ceux qui sont ici, bien entendu, toujours la question de l'hygiène respiratoire et, bien entendu, de prendre soin de soi.",2020-03-11,NA,1
2,202003111,202003111_88,"Mais n'oubliez pas aussi l'étiquette. Essayez d'éviter les rassemblements. Les gens qui reviennent de voyage aussi, qui sont dans la période de 14 jours, essayez d'éviter les endroits où il y a des personnes âgées, où il y a beaucoup de personnes, pour ne pas que l'on contamine nos plus vulnérables. Avec ça, on va diminuer le risque de maladie importante, bien entendu, et, en diminuant ce risque-là, surcharger notre système de santé. Concernant la tenue des grands événements, la santé publique suit l'évolution de la situation. Actuellement, il n'y a pas de circulation au Québec. C'est la place idéale pour tenir un événement comme tel. Mais on ne veut pas non plus qu'un événement international introduise de façon importante le virus, augmente le potentiel, puis là on se retrouve dans une situation qu'on ne peut pas prévoir.",2020-03-11,Suppression,1
3,202003111,202003111_98,"Les personnes qui présentent des symptômes compatibles avec le COVID ainsi que celles qui ont des conditions sous-jacentes à risque ne devraient pas participer. Je pense que, si on est un grand malade pulmonaire, un diabète mal contrôlé, un malade cardiaque, il va peut-être falloir éviter certains événements. Mais, à mesure que l'épidémiologie va changer, on va vous alerter, on va vous avertir là-dessus. On demande aux organisateurs, bien entendu, de renforcer les pratiques d'hygiène lors d'événements, d'assurer des moyens pour le faire, c'est-à-dire du savon, de l'eau, du rince-mains antiseptique, de prévoir un lieu où les personnes qui, pendant l'événement, développeraient des symptômes de toux, puis etc., puissent être isolées et prises en charge, d'encourager l'utilisation de pratiques alternatives au contact direct, c'est-à-dire ce n'est pas nécessaire de donner des poignées de mains à 3 000 personnes dans un événement, d'éviter le partage de nourriture, des breuvages ou de dispenser... ou augmenter les points de services, c'est-à-dire de ne pas mettre tout le monde à la même place pour les points de service, les bars ou les aliments, favoriser surtout les repas servis en boîte et non pas nécessairement les buffets, qui amènent beaucoup d'interactions entre les individus, de choisir un lieu de rencontre qui permet d'éviter l'entassement, c'est-à-dire un grand espace, ça permet de la distanciation sociale et des conséquences, puis d'échelonner aussi ce qu'on appelle les arrivées puis les départs dans les événements, quand tout le monde arrive en même temps. C'est des conseils qui sont donnés habituellement en lien avec l'organisation quand il y a des phénomènes de la nature de nouveaux virus. Je tiens encore à insister sur les recommandations envers les personnes vulnérables, les gens atteints de cancer, de chimio, particulièrement les personnes âgées. De façon générale, les personnes qui contractent le COVID-19 se remettent sur pied rapidement. Mais la situation peut être très différente pour ces aînés-là et ça pourrait être la cause qui va entraîner une série de complications et amener la mort. Donc, je pense qu'on doit doser cet élément-là. Il est important de prendre certaines précautions. Au niveau des centres pour personnes âgées, au niveau des résidences pour personnes âgées, il faut accentuer les mesures d'hygiène comme telles, à la fois les mesures qui sont prises par l'établissement en fournissant du savon, en s'assurant que des personnes malades ne viennent pas faire la visite, mais aussi à ce que des gens appliquent une bonne étiquette respiratoire. Je pense que c'est très important, je l'ai répété, si vous revenez d'un voyage à l'étranger, abstenez-vous de rendre des visites à ces personnes-là. Puis, si vous avez des symptômes d'allure grippale, il est aussi préférable de leur rendre visite. C'est comme ça aussi qu'on introduit souvent des virus auprès de nos personnes âgées. On va continuer à vous tenir informés, probablement, compte tenu de ce qui va venir, de façon beaucoup plus régulière. Et on est prêts, maintenant, je pense, à répondre à vos questions. M. Laforest (Alain) : Les hôpitaux débordent actuellement, le service... Si vous voulez juste vous approcher du micro. Le réseau de la santé déborde.",2020-03-11,Mitigation,1
4,202003111,202003111_263,"L'Italie, probablement, c'est que c'est arrivé, il y a plusieurs personnes qui sont arrivées, il y a eu des foyers qui ont flambé. Puis, comme ils ne s'en sont pas rendu compte... Les interventions qu'on fait, là, comme on a fait sur la dame qui a pris le métro puis qu'on a dit, là... etc., puis on essaie de retrouver des personnes, elles n'ont peut-être pas pu avoir lieu. Et là ils se retrouvent avec un pic comme ça qui fait que, là, les intensivistes se disent : Bien, ça y est, on va manquer de monde. Mais, si on n'a pas un pic comme ça, on est capables de «manager» cette situation-là. Puis, si on commence déjà à protéger nos personnes âgées parce qu'on met les mesures en place, on a... Et ça, ce que je vous dis là, là, ça ne vient pas rien que de moi, c'est la science. C'est la façon de fonctionner en santé publique. C'est ce qu'on apprend dans ma spécialité. Et le médecin qui conseille le Dr Tedros, qui est directeur général de l'OMS, le Dr Aylward, qui est un gars qui vient du Nouveau-Brunswick, mais qui est à l'OMS depuis longtemps, qui a géré plusieurs épidémies, le dit, l'appel à la pandémie, ce n'est pas, style : On lâche, c'est fini, c'est : Au contraire, on se bat puis on essaie...",2020-03-11,NA,1
1,202003121,202003121_1,"Titre et participants : Conférence de presse de M. François Legault, premier ministre, Mme Danielle McCann, ministre de la Santé et des Services sociaux et Mme Marguerite Blais, ministre responsable des Aînés et des Proches aidants. Sujet : Point de presse concernant la situation au Québec quant au COVID-19. Date : Le jeudi 12 mars 2020, 11 h 45. Lieu : Salle Evelyn-Dumas (1.30), édifice Pamphile-Le May. Début de la transcription : (Onze heures cinquante-sept minutes) M. Legault : Oui. Bonjour, tout le monde.",2020-03-12,NA,0
2,202003121,202003121_23,"On va aussi, au cours des prochains jours, annoncer des mesures pour aider toutes les entreprises qui ont des problèmes de liquidité dus aux impacts du coronavirus. Donc, on ne va laisser tomber personne. Je demande aussi à tous les organisateurs d'événements intérieurs de plus de 250 personnes d'annuler ces événements et je demande aussi, de façon générale, d'annuler tous les événements qui ne sont pas nécessaires. Je demande aussi à tous ceux qui sont capables de faire du télétravail, de le faire. Évidemment, je le rappelle, il faut se laver les mains régulièrement puis, au moindre doute, il faut s'isoler et il faut aller se faire tester. Je demande évidemment aux Québécois de porter une attention spéciale aux personnes vulnérables, en particulier nos aînés. Que nos aînés habitent dans leur maison ou dans toutes sortes de centres d'hébergement, si vous revenez de l'étranger ou si vous avez des symptômes comparables aux symptômes de la grippe, n'allez pas visiter les aînés. C'est important, ce sont les personnes qui sont les plus à risque. Donc, tout le monde, tous les Québécois doivent faire leur part, mais je veux, en terminant, dire un mot spécial pour tout le personnel du réseau de la santé. Vous êtes actuellement nos anges gardiens. Je veux, au nom de tous les Québécois, vous dire un énorme merci. Je sais que ce n'est pas facile, qu'il y a des heures qui sont longues, que ça va être difficile pendant plusieurs semaines.",2020-03-12,Suppression,1
3,202003121,202003121_57,"Ça ne veut pas dire que, dans le futur, même demain ou après-demain, il n'y aurait pas d'autres avenues qu'on va travailler. Mais, pour le moment, les tests qu'on fait actuellement dans les cliniques, dans les hôpitaux, on pourrait en faire à domicile. C'est à ce point-là qu'on est rendus, mais effectivement, si le besoin est, on pourrait avoir d'autres modalités. Le Modérateur : On poursuit avec Louis Lacroix, Cogeco Nouvelles. M. Lacroix (Louis) : Bonjour. Est-ce que... Je vois, M. Legault, que vous êtes beaucoup dans la demande, en fait, vous demandez aux gens, puis même dans les CHSLD, les centres pour personnes âgées. Est-ce que vous pourriez aller un «step» plus loin, si on veut, là, une marche plus loin et interdire carrément certaines visites dans les CHSLD ou encore fermer les écoles? Est-ce qu'on est en train de songer à ça? M. Legault : On n'est pas rendus là, mais, à ce moment-ci, on ne peut rien exclure. M. Lacroix (Louis) : Mais c'est dans la possibilité de le faire.",2020-03-12,NA,1
4,202003121,202003121_157,"Actuellement, il n'a pas de circulation du virus. Tu sais, des gyms où il y a de la transmission, il n'y en a pas. Mais moi, j'aurais tendance à vous dire, actuellement, certains... C'est clair qu'on vient d'interdire des rassemblements intérieurs en haut de 250. S'il y a des... Un, surtout pas si vous revenez de voyage ou vous commencez à avoir des symptômes, n'allez pas voir nos personnes âgées. Téléphonez-leur. Tu sais, il faut prendre des habitudes. Là, on devrait faire ça dans toutes les saisons de grippes, vous comprenez? Parce que ces gens-là sont très vulnérables. Dans les transports en commun, on va en arriver à dire aussi : Essayez de limiter...",2020-03-12,NA,1
5,202003121,202003121_263,"Mais je pense, honnêtement, que ça va être efficace. Ça a été démontré dans d'autres situations, on pourrait avoir véritablement une baisse importante du pic, mais surtout aussi son étalement. Parce que, je vous le dis, là, le pire, c'est que tout arrive en même temps et qu'on soit obligés, à un moment donné, de faire des choix et dire : Est-ce que c'est cette personne-là qu'on traite ou l'autre? Et ça, on ne veut pas arriver à ça. Puis c'est pour ça aussi qu'on veut aussi protéger nos vulnérables. Quand on vous dit, là, de ne pas aller visiter des personnes âgées dans les centres d'accueil, c'est pour ne pas les amener à la maladie. Parce que, si on ne rentre pas le virus dans le centre d'accueil, il n'y aura pas la maladie. Mme Blais (Prévost) : D'ailleurs, j'aimerais peut-être mentionner que, d'ici demain, dès demain, dans tous les CHSLD, il y aura à la porte une personne responsable de la sécurité qui va poser des questions par rapport à : Avez-vous voyagé?, il faudrait vous laver les mains. Poser les questions d'usage pour être absolument certain que, si on n'est pas obligé d'aller visiter nos personnes vulnérables dans les CHSLD, qu'on s'abstienne. Normalement, je vous dis le contraire : Allez visiter nos personnes âgées parce que les gens vivent une situation d'isolement. Mais là je suis en train de dire : Si vous sentez que vous avez un syndrome d'allure grippale, si vous toussez, si vous avez des problèmes respiratoires, si vous avez voyagé au cours des 14 derniers jours, n'allez pas visiter nos aînés dans les CHSLD. Et on a un guide aussi qui a été fait en 2009 pour, justement, contrer une pandémie d'influenza, qui a été revu concernant le coronavirus, la COVID-19, et tous les établissements maintenant ont ce guide qui s'adresse particulièrement aux professionnels de la santé. Mme Richer (Jocelyne) : Une question au premier ministre, s'il vous plaît, à propos des voyageurs arrivant de l'étranger. Les mesures dont vous parlez aujourd'hui, choses quand même incitatives, est-ce que vous avez envisagé et est-ce que vous avez le pouvoir, dans les prochaines semaines, si la situation dégénère, d'empêcher des gens de débarquer au Québec? M. Legault : Bien, évidemment, il faudrait le faire avec le gouvernement fédéral. Ça va faire partie des discussions, surtout avec la décision que M. Trump a prise hier soir. Donc, ça fera partie des discussions avec le gouvernement fédéral.",2020-03-12,Mitigation,1
6,202003121,202003121_301,"Pour faire un suivi à la question précédente de ma collègue, on a vu beaucoup de reportages, ces derniers jours, de gens, justement, dans les aéroports, qui arrivent d'Italie, par exemple, qui racontent à la télé : Bien, on nous a remis un feuillet explicatif, pas plus de vérification. Est-ce que ça vous semble normal? Est-ce qu'il n'y aurait pas des précautions additionnelles à prendre que vous pourriez suggérer au gouvernement fédéral? M. Legault : Exactement. Ce qu'on souhaite avec le gouvernement fédéral... Bon, comme vous le savez, on ne peut pas avoir un test qui est concluant avec les personnes qui arrivent à l'aéroport. Mais on peut par contre donner des directives très claires de dire : Bien, si vous avez des symptômes, pendant les 14 prochains jours, soyez prudents; d'abord, n'allez pas visiter des personnes âgées, mettez-vous en isolement, puis, s'il y a des symptômes, allez vous faire tester. Donc, il faut surtout informer les voyageurs. Mais c'est quelque chose qu'on discute avec le gouvernement fédéral. Le Modérateur : De façon très rapide, donc question courte, réponse courte, Fanny Lévesque, LaPresse. Mme Lévesque (Fanny) : Oui. Dans les nouveaux cas confirmés, est-ce qu'il y a des cas qui touchent du personnel de santé comme des médecins ou des infirmiers?",2020-03-12,NA,1
