group,doc_id,unique_phrase_id,sentences,date,frame,check
1,202003121,202003121_370,"Comprenez-vous? C'est que, là, là, il faut vraiment, là... On fait ça sur la base des informations qui sont chez nous puis on le fait en fonction de notre épidémiologie, qui n'est pas la même que celle de la Colombie-Britannique puis qui n'est pas la même de l'Ontario. C'est pour ça qu'on fait de la surveillance, c'est pour ça qu'on est aux aguets. C'est pour ça que depuis le mois de, je dirais, mi-janvier, on est là-dessus. C'est pour ça que, depuis le début janvier, on a commencé à penser approvisionnement, masques, etc. Parce qu'on l'a déjà vécu, puis qu'on va faire mieux que la dernière fois, puis on va survivre à tout ça grâce à notre solidarité, puis la prochaine fois on fera encore mieux. Le Modérateur : De façon donc très rapide, parce que le temps file puis que je veux laisser la chance à nos collègues des médias anglophones de faire leur travail également, il y avait Annabelle Blais du Journal de Montréal. Mme Blais (Annabelle) : Bonjour. Juste pour que ce soit très clair, là, la Loi sur la santé publique et les pouvoirs du premier ministre, donc, vous pouvez forcer une personne à un isolement obligatoire, vous pouvez fermer tout lieu que vous jugez bon? Vous n'avez pas besoin, dans la mécanique, d'attendre quelconque déclaration du fédéral en lien avec la loi de la quarantaine, les pleins pouvoirs?",2020-03-12,NA,0
1,202003181,202003181_117,"On peut contaminer quelqu'un sans le savoir, particulièrement si on est asymptomatique. Et les gens qui reviennent de voyage, je vous le dis, même si vous pensez que vous ne l'avez pas, c'est très important de s'auto-isoler. Si jamais vous avez des symptômes, allez consulter. N'allez pas contaminer nos personnes à risque. On ne le répétera pas assez. Aussi, ne pensez pas que les masques, c'est une solution miracle. C'est important. C'est l'étiquette respiratoire, si on est malade, pour ne pas contaminer les autres, et c'est l'hygiène des mains. Porter un masque, c'est mettre sa main souvent pour ajuster le masque, et on se contamine. Les masques, c'est pour le système de soins où il y a des protocoles pour les mettre, des protocoles pour les enlever. C'est aussi la même chose avec les gants. Quand on porte des gants, qu'on a touché à tout, si on ne l'enlève pas adéquatement, on se contamine. Le gant ne remplace jamais le lavage de mains, même en unité de soins. C'est difficile à comprendre, mais soyez assurés... Et on doit maintenir nos masques pour protéger les personnes malades qui pourraient contaminer d'autres... c'est-à-dire les empêcher de contaminer d'autres et protéger nos travailleurs de la santé. Les autres, je ne porte pas de masque, je lave mes mains. Je lave mes mains. Et, si je suis malade, je ne viendrai pas ici. Je ne contaminerai pas le premier ministre ici qui a besoin d'être ici pour contrôler le bateau. C'est pour ça qu'on se lave les mains. On ne se lave pas les mains de la situation.",2020-03-18,NA,1
2,202003181,202003181_192,"Donc, j'ai déjà discuté à quelques reprises de ça avec le gouvernement fédéral. Le Modérateur : Olivier Bossé, Le Soleil. M. Bossé (Olivier) : Vous disiez que vous avez tout le matériel. Pourtant, le laboratoire, hier, a émis une lettre disant que les écouvillons, il fallait les économiser. M. Arruda dit : Allons-y, allons-y, utilisons les masques le moins possible. Donc, les gens peuvent avoir l'impression qu'il va y avoir une pénurie de matériel. M. Legault : Oui. Bien, écoutez, ça a fait partie des discussions, justement, avec les premiers ministres des différentes provinces. Ce qu'on essaie de faire actuellement, c'est d'estimer le «peak», hein, le moment où on va atteindre le pic, là, où il y aura le plus de personnes qui sont infectées, qui ont besoin de soins. Ce n'est pas une science exacte, et puis je pense qu'il y a autant de réponses qu'il y a de premiers ministres, là, au Canada.",2020-03-18,NA,1
1,202003191,202003191_25,"C'est important, évidemment, de dire que, plus on teste, plus le nombre de cas augmente. Donc, il faut être prudent quand on analyse la croissance des cas. On pouvait s'y attendre, avec le nombre de tests, là, qu'on soit rendu autour de 120. Je veux aussi rassurer tous les Québécois. Il y a toutes sortes de choses qui se disent sur les équipements, là. On a actuellement tous les équipements qu'on a besoin à court terme, donc que ce soient des écouvillons pour les tests, les masques, les gants, les respirateurs, les visières, et autres, et on continue d'ajouter à cet équipement-là, au cas où la croissance soit beaucoup plus forte, là, dans les prochaines semaines. Mais, à court terme, on a tous les équipements qu'on a besoin. Ce que les gens, aussi, de la santé publique me confirment, c'est que les mesures qu'on prend donnent des résultats. Donc, encore une fois, soyons prudents. Quand on analyse, ça prend un certain temps avant que ça donne des résultats, mais il y a plus de tests, donc c'est normal qu'il y ait plus de résultats positifs. Aujourd'hui, je veux ajouter une consigne à celles qu'on a déjà annoncées.",2020-03-19,NA,0
1,202003201,202003201_17,"Je veux vous dire que, pour l'instant, quand on regarde le réseau de la santé, la situation est toujours sous contrôle. On a libéré 4 000 lits, qui sont disponibles, donc, en reportant des chirurgies électives. Je veux vous dire aussi qu'on a assez d'équipement à court terme. Mais on travaille quand même sur des scénarios plus pessimistes pour être prêts au cas où. Puis on parle déjà... On a commencé à parler avec des entreprises, si c'est nécessaire, pour construire des respirateurs, pour fabriquer des masques, pour fabriquer tous les équipements qui pourraient être essentiels s'il y avait une situation qui devenait beaucoup plus critique. La direction de la santé publique m'assure que toutes les mesures qu'on met en place, ça donne des résultats. Ça aide à retarder, reporter la contagion de beaucoup de personnes. Je suis content de voir qu'il y a de plus en plus de personnes qui sont au courant des consignes. Mais, à compter de six heures ce soir, on a demandé à Dominique Michel puis Bernard Derome d'enregistrer des messages qui vont être transmis au téléphone aux personnes de 70 ans et plus pour répéter les consignes, trouver aussi une façon de rassurer autant que possible la population. Évidemment, la consigne qui est la plus importante, c'est : Si vous êtes malade, si vous avez des symptômes, vous restez à la maison, vous vous isolez.",2020-03-20,NA,0
2,202003201,202003201_173,"S'il y a des gens qui ont besoin d'un moyen de transport, je le prends en note, et on va voir qu'est-ce qu'on peut faire pour les rejoindre. M. Arruda (Horacio) : Il faut comprendre aussi... J'aimerais ça, de façon générale, maintenir un message important. Toutes les mesures qui ont été ordonnées et recommandées, là, il faut les appliquer. Ça, je trouve ça important parce que les gens focalisent beaucoup sur le test, les masques, etc., là. Je vous le dis, là, si vous voulez vous protéger, c'est ça. On a dit qu'on suivait la situation de jour en jour. Là, on en est à la suivre d'heure en heure. Puis, en fonction d'où on va être rendus au point de vue épidémiologique, on va tester en priorité certaines personnes. Prenons, par exemple...",2020-03-20,NA,1
3,202003201,202003201_235,"Vous avez dit que vous vous êtes renseignés, donc, auprès de fournisseurs éventuels locaux. On en a combien? Il en faudrait combien pour le pic? Est-ce qu'on doit en commander dans la réserve fédérale? Est-ce que vous avez des chiffres là-dessus? M. Legault : Bon, je pense qu'il faut être prudent avec les chiffres parce que, bon, il y a des masques, des respirateurs à beaucoup d'endroits dans le réseau, même dans certaines villes comme Montréal. On a des commandes qui sont en cours. Il y a des commandes qui sont confirmées. Il y a des commandes qui sont en suspens, qui sont aussi, dans certains cas, contrôlées par Ottawa, qui redistribue aux différentes provinces. Donc, on regarde avec des scénarios... Comme je le disais tantôt, pour le court terme, il n'y a pas de problème.",2020-03-20,NA,0
4,202003201,202003201_248,"On veut regarder les scénarios les plus pessimistes. Puis, pour ces scénarios plus pessimistes, bien, on n'exclut pas d'en faire fabriquer. On parle avec le gouvernement fédéral. On parle avec le gouvernement de l'Ontario. Il y a des entreprises, déjà, qui nous offrent leur collaboration, des entreprises qu'on a sollicitées. Mais les masques puis les respirateurs, c'est certain, là, que tout le monde dans le monde va en chercher. Donc, il faut suivre aussi ce qui se passe à New York, ce qui se passe aux États-Unis, ce qui se passe en Europe. Donc, ça évolue très rapidement. Mais, pour l'instant, moi, je veux rassurer tout le monde, là, à court terme, il n'y a pas de besoin d'équipement. Le Modérateur : Olivier Bossé, Le Soleil. M. Bossé (Olivier) : J'aimerais ça que vous me parliez plus précisément de l'Estrie, qui a peut-être 5 % de la province, mais, je ne le sais pas, 20 % des cas.",2020-03-20,NA,0
1,202003221,202003221_79,"Vous allez, de toute façon, être soignées. Vous allez éviter qu'on puisse transmettre le virus au personnel de la santé, ce qui est la dernière chose qu'on veut. Donc, ne pas mettre la vie en danger, dites la vérité au personnel de la santé. C'est grave, là, il faut le dire. Un mot aussi sur les équipements critiques. Beaucoup de choses qui se disent un peu partout dans le monde sur les masques, les ventilateurs, le matériel pour faire des tests. On est corrects pour les quelques semaines qui viennent. Évidemment, en toute transparence, là, pour la suite, on compte sur des commandes puis on ne prend pas de chance. On a demandé déjà à une quinzaine d'entreprises québécoises de travailler, au cas où, à fabriquer certains de ces équipements. Puis on travaille très fort avec le gouvernement fédéral, je dois le dire. Le gouvernement fédéral a réussi à placer des commandes pour l'ensemble du Canada, répartir entre les différentes provinces.",2020-03-22,Suppression,0
1,202003231,202003231_209,"Mais il y a une situation particulière à Gatineau, Ottawa, là. C'est qu'il y a une communauté qui est, dans le fond, la même communauté, puis il y a une partie des soins qui, dans certains cas, sont à Ottawa pour des gens de Gatineau. Donc, il faut être prudent. Bon, à 5 heures 30, à la rencontre, j'ai demandé à l'équipe de 15, 20 qui travaille sur notre comité, et la priorité des priorités, c'est d'avoir les écouvillons, donc, le matériel pour les tests. Là, on en a pour les quelques prochaines semaines, mais, évidemment, ça va s'accélérer, et donc on a besoin d'Ottawa pour faire des efforts, entre autres pour avoir le matériel de test. On est pas mal confortables avec les masques, les ventilateurs, mais les écouvillons... Bon, il y a des méthodes qui sont testées actuellement. Est-ce qu'on pourrait utiliser juste une tige? Mais, tout le monde, je pense, là, est préoccupé du nombre d'écouvillons à moyen terme, si je peux dire. Donc, ça va faire partie des demandes que je vais faire à M. Trudeau, ce soir. Le Modérateur : Andrée Martin, TVA. Mme Martin (Andrée) : Bonjour à vous trois.",2020-03-23,NA,0
