"group","doc_id","unique_phrase_id","sentences","date"
3,202003261,"202003261_367","M. Legault : Pas pour l'instant. M. Bossé (Olivier) : Est-ce que vous vous attendez à ce que les cégeps et les universités soient prêts à relancer leurs activités dès lundi? M. Legault : Bien, on le souhaite. Ce qu'on souhaite c'est... M. Bossé (Olivier) : En ligne, évidemment. M. Legault : ...c'est qu'on soit capable de donner des cours en ligne pour que les gens soient capables d'obtenir leur diplôme pour la session, là, qui était très avancée, là. N'oublions pas que, dans les cégeps puis les universités, ça finit avant les écoles primaires, secondaires, là, avril ou mai. Donc, il y avait une partie qui doit être complétée par des cours en ligne. On espère d'être capables de le faire pas mal partout, mais, bon, il y a des universités qui le font déjà, il y a des universités qui vont commencer à le faire, même chose du côté des cégeps. Le Modérateur : Merci. So now, in English, Cathy Senay, CBC.",2020-03-26
1,202003291,"202003291_96","Le Modérateur : Nous en sommes maintenant à la période de questions. Geneviève Lajoie, Le Journal de Québec. Mme Lajoie (Geneviève) : Bonjour, messieurs. Jusqu'à maintenant, vous avez mis en place des mesures, jour après jour, de manière très graduelle. Ça a commencé par les écoles, les entreprises. J'imagine que... on doit s'imaginer aussi que ce sera pareil pour la sortie du confinement, c'est-à-dire graduel, progressif. Est-ce que, donc, on doit s'attendre à ce que ce ne sont pas toutes les entreprises qui pourront réouvrir à partir de la mi-avril? M. Legault : Bien, effectivement, on aura un plan de réouverture qui sera graduel. Mais, quand on verra la lumière au bout du tunnel, quant à moi, le plus vite sera le mieux. Donc, moi, je veux... Puis on prend les précautions. Actuellement, Pierre Fitzgibbon, le ministre de l'Économie, là, sa job, c'est de s'assurer que, dès qu'on va être passés au travers, les entreprises soient prêtes à réouvrir.",2020-03-29
1,202003301,"202003301_200","Le Modérateur : Merci. Prochaine question, Alain Laforest, TVA. M. Laforest (Alain) : Je vais rebondir là-dessus, M. le premier ministre. Est-ce que vous préparez les Québécois à une plus longue période de confinement, compte tenu que vous venez de dire : On ne sait pas combien de temps va durer cette crise-là? M. Legault : Oui, bien là, pour l'instant, ce qu'on a dit, c'est que toutes les entreprises sont fermées jusqu'au 13 avril. Ça sera réévalué d'ici le 13 avril. Il faut comprendre, là, que, si on excepte quelques États aux États-Unis, on est à peu près le seul État qui a fermé les entreprises autres que les commerces, donc j'inclus là-dedans les entreprises manufacturières, les chantiers de construction, etc. On a aussi annoncé jusqu'à présent que les écoles resteraient fermées jusqu'au 1er mai. Bien, ça reste encore l'objectif, mais on réévalue puis on va réévaluer, au cours des prochains jours, des prochaines semaines, la situation. M. Laforest (Alain) : Vous avez abordé d'entrée de jeu, là, un sujet qu'on a discuté souvent, le fameux équipement, particulièrement les masques de protection. Selon vos estimations, particulièrement pour Montréal, vous en avez pour combien de temps? Si vous demandez au personnel et vous regardez l'optique de les nettoyer, c'est qu'on n'est pas loin de la rupture, là. M. Legault : Bon, d'abord, on ne regarde pas ça région par région, parce que nous, on s'assure que toutes les régions aient, en proportion de leur population puis des besoins dans les hôpitaux, suffisamment d'équipement. Donc, s'il y a un problème, bien, ça sera un problème partout, mais ça ne sera pas un problème dans certaines régions. On a des équipements pour le court terme.",2020-03-30
4,202004091,"202004091_333","Mais effectivement ça a été des situations extrêmement exceptionnelles, hein? Ce n'est vraiment pas quelque chose qu'on a fait souvent. Il y avait un danger de bris de service. Mais, à ce moment-ci, ce que je vous dis, c'est qu'on va tester tout le monde dans des CHSLD où il y a un cas confirmé... au moins un cas confirmé. Tout le monde va être dépisté. Le Modérateur : Olivier Bossé, Le Soleil. M. Bossé (Olivier) : Bonjour. M. Legault, dans votre esprit, est-ce que rouvrir les écoles, ça pourrait se faire par régions ou c'est tout ou pantoute, comme on dit? M. Legault : Bien, il n'y a rien d'exclu. Bon, je le répète, pour les enfants, les risques sont très minimes de conséquences graves si jamais ils attrapaient la COVID-19. Évidemment, on va avoir des discussions avec le Dr Arruda, santé publique, de voir quelle est la situation dans chacune des régions. Donc, on ne l'exclut pas d'y aller par régions. Mais c'est aussi possible qu'on soit capables de tout ouvrir en même temps, là. Oui. M. Arruda (Horacio) : Si vous permettez. Effectivement, votre réponse est tout à fait excellente, M. le premier ministre. Mais je voudrais aussi dire : C'est important qu'on continue à maintenir les choses.",2020-04-09
2,202004101,"202004101_311","Le Modérateur : Prochaine question, Olivier Bossé, Le Soleil. M. Bossé (Olivier) : Bonjour. Mardi, avec les spécialistes de l'institut, on nous a parlé d'un pic, d'un sommet vers le 18. Depuis ce temps-là, on parle beaucoup de rouvrir. Même, aujourd'hui, vous dites : On est au pic ou presque. Est-ce que vous ne craignez pas d'envoyer un message contradictoire et peut-être payer pour ça dans les prochains jours, prochaines semaines, auprès des gens? M. Legault : Non, ce que j'essaie de faire, c'est d'envoyer un message d'espoir, de dire : On commence à voir la lumière au bout du tunnel. On est à la veille, on l'espère, là, puis c'est ce que les chiffres nous disent depuis sais qu'entre autres les entrepreneurs, les parents qui ont des enfants un peu turbulents, etc., je veux leur donner de l'espoir. En même temps, on va être prudents. Donc, on va suivre les résultats pour être bien sûrs qu'on est au sommet puis qu'on ne relance pas les choses. Mais en même temps je pense qu'il faut donner un peu d'espoir à la population aussi. M. Arruda (Horacio) : Puis, si vous me permettez, je vais ajouter le fait que les équipes de santé publique ne vont pas relâcher leurs interventions. Autour de chacun des cas et des contacts, on va faire des interventions comme telles, et cette surveillance-là... puis à la fois de la... Parce que, dans les faits, aussi, il faut comprendre que, par exemple, les jeunes qui pourraient attraper la maladie avec presque par de symptômes, puis etc., c'est comme si on les vaccinait. C'est la vaccination naturelle qui va s'installer. Et c'est important, dans la société, qu'il y ait une certaine partie de la population qui soit vaccinée.",2020-04-10
4,202004101,"202004101_398","Nous on a été bombardés par d'autres. Ça, les gens, il faut que vous compreniez, quand on compare ça puis quand on va faire les analyses plus tard, on va les regarder, les mouvements de population. C'est quoi, la proportion de voyageurs de France qui sont venus chez nous pendant la période critique, puis etc.? Ça fait que je vous dirais que cette réouverture-là du robinet, elle va... ce n'est pas une switch on-off, comme je le disais. On a fait off avec la pause temporaire. On va faire... On a un gradateur. On va rouvrir, on va mesurer, on va rouvrir, on va mesurer. Puis c'est important qu'une société fonctionne aussi, quelque part, sinon : augmentation de la violence, enfants battus. Tout ça, là, c'est associé à des éléments de confinement, puis je peux vous dire, là, à un moment donné, on finit par devenir fou si on est toujours enfermé comme tel. Ça, je pense qu'il faut prendre en compte aussi la réponse de la société. M. Legault : Il y a autre chose qu'il faut regarder aussi, c'est que les provinces n'ont pas toutes pris les mêmes mesures. Par exemple, il y a des provinces qui n'ont pas fermé toute la construction, qui n'ont pas fermé toutes les compagnies manufacturières, qui n'ont pas fermé toutes les mines. Donc, nous, on a été assez raides, même, je dirais, probablement la province qui en a fait le plus le plus rapidement. Mais il y a des endroits où ça n'a pas été fermé, ces secteurs-là. Donc, c'est certain que nous, on est à l'étape de les réouvrir. Eux autres sont déjà réouverts.",2020-04-10
2,202004141,"202004141_126","Aujourd'hui, je vais vous demander la collaboration de tous pour respecter à la lettre ce qu'on va faire en CHSLD. Le premier ministre en a déjà énoncé quelques éléments, mais, je veux vous le dire, c'est très important que vous compreniez que vous devez respecter ce qu'on vous dit actuellement. Ça s'adresse seulement aux CHSLD, là où les gens les plus vulnérables ont besoin de soins beaucoup plus concentrés en nombre d'heures que ce qu'on retrouve dans les autres résidences pour personnes âgées. Et cette chose-là va être faite pour ces patients-là et leurs proches aidants soignants. Il faut comprendre que ce sont des gens qui sont connus avant la pandémie. C'est des gens qui allaient régulièrement, avant la pandémie, offrir soit de l'alimentation, de l'hydratation ou de l'hygiène. Il y en a à peu près 10 %, des gens en CHSLD, qui ont ce genre d'aidant naturel. C'est triste. Ça va être difficile pour les enfants qui allaient voir leurs parents la fin de semaine parce qu'ils travaillaient, puis etc., puis qu'ils n'avaient pas la capacité d'être un proche aidant. Mais je tiens à vous dire qu'on ne peut pas ouvrir la machine ou la porte de façon intensive dans le contexte actuel. C'est une mesure qui est volontaire. Je tiens à insister ici, on n'oblige pas personne qui le faisait avant de revenir offrir des soins. C'est pour une personne pour un patient. Ces gens-là venaient avant la crise puis, comme je l'ai dit, offraient certains types de soins. Ce n'est pas pour les familles et les visiteurs. Je comprends que c'est difficile, mais ce n'est pas le cas. Ces personnes seront identifiées par la direction de l'établissement.",2020-04-14
1,202004161,"202004161_43","Puis on a demandé au fédéral de nous envoyer toutes les personnes qu'il pouvait nous envoyer, là, qui sont capables d'aider dans les CHSLD. Je veux aussi profiter de ce sujet-là pour faire une mise au point. Je vois, comme vous, sur Twitter et ailleurs, que des personnes disent : J'ai déposé mon C.V., je n'ai pas eu de nouvelles. Bon, d'abord, vous dire : Déjà, on a demandé à des milliers de personnes de venir nous aider quand ces personnes-là avaient les qualifications qu'on a besoin dans la région où on en a besoin. C'est certain, là, qu'une infirmière à Montréal, là, qui est qualifiée, on n'ira pas faire exprès pour la refuser. Ça se peut qu'il y ait eu quelques cas qui sont tombés entre deux chaises, entre le ministère qui a reçu des C.V. puis qui les a envoyés aux établissements. Mais je peux vous dire, là, qu'on ne fait pas exprès pour refuser des gens qualifiés. On en a besoin plus que jamais. Je veux aussi dire aux finissants des écoles en soins infirmiers puis en santé, là : Vous devriez aujourd'hui recevoir un appel. Ça a tout été bien attaché. Donc, vous allez pouvoir, les plus jeunes, venir nous donner un coup de main dans les CHSLD au cours des prochains jours. Une autre précision que j'ai eue. On avait dit que toutes les résidences avaient été visitées. Ce n'est pas le cas. On m'a précisé que tous les CHSLD publics ont été visités. Les autres sont en train d'être visités. Ça devrait être terminé bientôt, mais il y en a encore qui n'ont pas été visités, dans les résidences autres que les CHSLD publics.",2020-04-16
2,202004161,"202004161_63","Je pense aux premiers répondants, pompiers, policiers, ambulanciers, paramédics, qui sont là 24 heures par jour, sept jours par semaine. Je veux leur dire un immense merci, là. On est chanceux de vous avoir dans cette situation qui est exceptionnelle. Je termine en vous disant que même si la situation est critique dans certains CHSLD, on le voit que dans les hôpitaux la situation est pas mal sous contrôle et nous permet, maintenant qu'on a aplati la fameuse courbe, d'aller préparer un plan de déconfinement, un plan de réouverture. Donc, on va commencer. On commence avec les entreprises, on veut le faire d'une façon très graduelle, d'une façon intelligente, avec toutes les règles que le Dr Arruda nous donne. Donc, on travaille sur ce plan-là. On va pouvoir vous en parler dans les prochains jours, mais on commence vraiment par les entreprises. Donc, pour l'instant, il n'est pas question à court terme de réouvrir les écoles. Donc, je veux vous dire, on est en train de passer au travers. Les beaux jours s'en viennent. Il faut avoir du courage et persister. Le Modérateur : Maintenant, en anglais. M. Legault : Good afternoon.",2020-04-16
3,202004201,"202004201_463","On a développé des logiciels d'enquête en dedans de trois, quatre jours, alors qu'habituellement ça prend des processus qui prennent quasiment un an. Ça fait que, quand on parle d'un réseau complexe comme le nôtre puis d'agilité, là, je peux vous dire, moi, j'ai rarement vu le système aussi agile qu'ici. Et donc je pense que, quelque part, c'est facile, mais... Et c'est une épidémie très dynamique, dont le portrait change. Actuellement, il y a des chercheurs qui regardent tout ça en même temps, en temps réel. On est véritablement en action, réaction, action, réaction. Je voulais le mentionner de façon claire, là, pour que les gens comprennent le travail qui se fait en dessous de l'eau. Le Modérateur : Rapidement, en sous-question. Mme Lajoie (Geneviève) : Vous avez parlé tout à l'heure, M. Legault, là, des écoles. On comprend donc que ce n'est certainement pas avant la mi-mai qu'on va réouvrir les écoles. Vous avez plutôt mis l'emphase sur les garderies, les services de garde d'urgence qui pourraient être élargis. Justement, quand on doit retourner au travail puis qu'on n'a pas de garderie, bien, on fait quoi avec ses enfants? Souvent, on les envoie chez les grands-parents. En ce moment, ce n'est pas possible. Donc, est-ce que vous allez élargir, pour être claire, l'accès aux garderies à d'autres travailleurs comme... Puis est-ce que ce succès-là qu'il y a dans les services de garde, qui ont relativement été épargnés jusqu'à maintenant, est-ce que ça peut servir d'exemple pour les écoles? M. Legault : Ça fait partie, effectivement, des choses qu'on regarde, d'élargir les services de garderie pour les travailleurs qui doivent puis qui peuvent retourner travailler. Ça fait partie des scénarios qu'on examine actuellement. Le Modérateur : Ça va. Merci. Donc, on va passer aux questions an anglais.",2020-04-20
