"group","doc_id","unique_phrase_id","sentences","date"
1,202003261,"202003261_36","Puis là je veux dire aux Québécois, là, il ne faut pas être gêné d'aller dans une banque alimentaire. Ce n'est pas votre faute si vous avez perdu votre emploi dans les derniers jours, dans les dernières semaines. Donc, il n'y a pas de gêne à aller dans les banques alimentaires. Bon, on va s'assurer qu'il y ait assez d'argent pour acheter toute la nourriture qui est nécessaire. Évidemment, vous me voyez venir, ça va nous prendre plus de bénévoles. Donc, tantôt, Jean va vous expliquer, on a mis en place un portail, donc, sur Internet, un portail Web où, d'un côté, les organismes qui ont besoin d'aide... bon, il y a des banques alimentaires, mais il y a aussi, bon, toutes sortes de problèmes de santé mentale puis dans plusieurs domaines. Jean va vous en parler tantôt. Donc, tous les organismes qui manquent de bénévoles vont pouvoir s'inscrire sur le portail et tous les Québécois qui veulent faire du bénévolat, qui peuvent faire du bénévolat, bien, aujourd'hui, c'est mon appel du jour. S'il vous plaît, là, tous les Québécois, là, qui n'ont pas de symptôme, qui ont moins de 70 ans, qui ont du temps de disponible, qui n'ont pas de jeunes enfants ou peu importe, qui ont perdu leur travail, bien, s'il vous plaît, allez faire du bénévolat. C'est important. Puis, bien, mon merci du jour, c'est justement aux bénévoles. Donc, je veux le dire, il y en a déjà beaucoup qui font du bénévolat. Je pense, entre autres, puis je veux dire un mot spécial, tous ceux qui travaillent dans les municipalités, que ce soient maires, mairesses, les élus, les employés, il y en a beaucoup, là, on me donne des beaux exemples de gens qui vont aider dans les banques alimentaires, dans les différents organismes. Donc, merci du fond du coeur à tous les bénévoles au Québec. Par contre, puis avant que le Dr Arruda le dise, c'est important que les bénévoles qui vont dans les organismes respectent les consignes. Donc, ce que ça veut dire, concrètement... je pense aux banques alimentaires, il peut y avoir beaucoup de gens. Donc, il va falloir contrôler pour ne pas qu'il y ait des rassemblements, donc malheureusement d'attendre en ligne avec une distance d'un à deux mètres; évidemment, ceux qui servent, se laver les mains régulièrement, très, très important.",2020-03-26
2,202003261,"202003261_232","Mais ce que je vais vous dire, il est peut-être arrivé, à un moment donné, où ils voyaient la réserve à un endroit qui diminuait, mais, à ma connaissance, il n'y a pas eu quelqu'un qui a eu à intervenir auprès d'un cas — je ne parle pas de gens qui pensent qu'ils vont intervenir demain ou qui sont dans une unité où ils pensent qu'il risque d'y en avoir — qui n'a pas été... qui n'a pas eu accès au matériel. Si c'est une situation qui est arrivée, là, j'aimerais ça qu'on me la rapporte, premièrement. Puis il est donc... quelque part, ce qu'on veut vous dire, c'est que c'est sûr qu'on fait une gestion serrée actuellement. Parce que je peux vous dire, si on ne la ferait pas, une gestion serrée, pour toutes sortes de raisons, même des gens à l'extérieur pourraient rentrer prendre des masques, puis là on aurait des problèmes de pris pour des personnes. Puis, en même temps qu'on fait une gestion serrée, en même temps, en parallèle, on travaille un stock pour être capable de répondre à la demande puis peut-être ne pas avoir à avoir cette gestion serrée là. Mais les recommandations, là, ne viennent pas de nous qui décidons, à un moment donné, là... Moi, là, je vais faire, vu que j'ai tant de doses... vu que j'ai tant de masques, je vais choisir ce monde-là. C'est véritablement en fonction d'une analyse de risque qui est faite par l'institut, qui nous transmet l'information, puis nous, on s'occupe, les équipes, l'équipe de Mme McCann et ceux qui travaillent là-dessus, à s'organiser pour avoir le matériel. Mme Lajoie (Geneviève) : Vous avez dit hier qu'il n'y aurait pas de mises à pied dans le secteur public, chez les employés de l'État, mais vous avez déjà évoqué un scénario qui irait, par exemple, jusqu'à la fermeture des écoles jusqu'en décembre. Est-ce que, donc, il n'y aurait pas de mises à pied... c'est sûr qu'il n'y aurait pas de mises à pied dans le secteur public, même si le scénario pessimiste, c'est ça qui arrive? M. Legault : Il n'y a aucune... Actuellement, il n'y a aucun scénario, là, de mises à pied ou de ne pas payer les employés qui travaillent pour le gouvernement du Québec, incluant les réseaux. Le Modérateur : Alain Laforest, TVA. M. Laforest (Alain) : Bonjour. M. Legault : Bonjour.",2020-03-26
3,202003261,"202003261_367","M. Legault : Pas pour l'instant. M. Bossé (Olivier) : Est-ce que vous vous attendez à ce que les cégeps et les universités soient prêts à relancer leurs activités dès lundi? M. Legault : Bien, on le souhaite. Ce qu'on souhaite c'est... M. Bossé (Olivier) : En ligne, évidemment. M. Legault : ...c'est qu'on soit capable de donner des cours en ligne pour que les gens soient capables d'obtenir leur diplôme pour la session, là, qui était très avancée, là. N'oublions pas que, dans les cégeps puis les universités, ça finit avant les écoles primaires, secondaires, là, avril ou mai. Donc, il y avait une partie qui doit être complétée par des cours en ligne. On espère d'être capables de le faire pas mal partout, mais, bon, il y a des universités qui le font déjà, il y a des universités qui vont commencer à le faire, même chose du côté des cégeps. Le Modérateur : Merci. So now, in English, Cathy Senay, CBC.",2020-03-26
1,202003271,"202003271_60","Bon, maintenant, une autre question, que vous m'avez posée hier puis que j'ai pu y penser cette nuit, les gens qui continuent de travailler puis qui gagnent moins que 2 000 $ par mois, bon, je peux comprendre que ça peut paraître n'être pas juste, donc j'ai demandé au ministre des Finances de trouver une manière de vous compenser. Donc, donnez-moi un petit peu de temps, là, ce n'est pas simple à mettre en place, mais je vous le dis, là, ceux qui continuent de travailler puis qui gagnent moins que 2 000 $, on va vous compenser. Puis faites-moi confiance, là. La mesure, on va l'annoncer dès qu'on est capables de la mettre en place, mais j'ai demandé au ministre des Finances de mettre ça en place. Parlant du ministre des Finances, bien, vous avez vu qu'il y a des mesures qui ont été annoncées par le gouvernement fédéral il y a quelques minutes, quelques heures, pour les entreprises. On a aussi eu des discussions avec le gouvernement fédéral pour les entreprises, pour leurs remises de TPS et de TVQ. Donc, évidemment, le 31 mars arrive, donc, pour donner de l'oxygène aux entreprises, on a convenu de reporter tous les paiements des entreprises, donc l'argent qu'ils ont collecté en TPS, TVQ, au 30 juin. Donc, vous savez que c'est le Québec qui collecte la TPS pour le gouvernement fédéral, donc, les deux, on va permettre aux entreprises de reporter jusqu'au 30 juin. Bon, maintenant, un mot sur les personnes vulnérables, puis là je pense, entre autres, aux enfants qui subissent de la violence puis aux femmes qui sont victimes de violence conjugale. Bon, d'abord, on a annoncé ce matin qu'on bonifie le financement pour l'hébergement. Là, vous n'êtes pas... vous n'avez surtout pas à rester à la maison, là, je pense entre autres aux femmes. Puis là je veux faire un appel à tous les Québécois, les voisins, la famille un petit peu plus éloignée : Soyez vigilants. Si vous êtes au courant qu'un enfant ou qu'une femme subit de la violence, bien, appelez la police. Je demande votre aide, là. On doit continuer de s'occuper de nos personnes vulnérables, puis, bon, il peut y avoir des cas étant donné, là, qu'il y a plus de gens qui restent à la maison. Maintenant, je termine avec mon merci du jour, aux camionneurs. Les femmes — parce qu'il y en a — et les hommes qui transportent la nourriture, qui transportent les biens essentiels, merci. Vous travaillez dans des conditions qui sont difficiles, vous êtes nos héros au quotidien, donc merci beaucoup pour votre travail. Donc, je termine en vous répétant qu'on est en train de livrer la plus grande bataille de notre vie collective. Il faut qu'on respecte les consignes. Donc, on sort le moins possible de chez soi, puis, si on sort, on se tient à deux mètres des autres personnes.",2020-03-27
2,202003271,"202003271_169","C'est le genre d'intervention qui peut être faite, et s'assurer aussi ne serait-ce que de la compliance de la population aux mesures qu'on a mises en place. Si on voit, dans des zones chaudes, des rassemblements d'individus ou des gens qui marchent mais qui viennent se donner un rendez-vous dans un parc, ça, ça pourrait être quelque chose qui est interdit. Et donc de la recommandation dans un secteur particulier ou de la suggestion très, très forte, je pense que le PM a été assez clair, bien, on pourrait devenir, pour des personnes qui n'acceptent pas de le faire... avoir une approche que j'appellerais «de contrainte». Et ce n'est pas notre stratégie initiale au Québec parce qu'on a un peuple qui... Habituellement, là, les gens acceptent, mais il y a des exceptions. Puis on n'est pas non plus la Chine, où on met une armée autour des maisons pour être en mesure de le faire. Le Modérateur : En sous-question. Mme Martin (Andrée) : Bien, justement, c'est parce que vous nous avez habitués, depuis le début de la crise, disons... Ici, en point de presse, vous nous disiez que vous vous interrogiez sur des enjeux, et le lendemain, il y avait vraiment des annonces concrètes qui étaient faites. Je pense notamment à la prolongation de l'absence à l'école, la fermeture des écoles, l'interdiction pour les aînés de sortir sans supervision. Alors, toujours en lien avec un possible confinement à Montréal, parce que vous en avez parlé hier, 24 heures plus tard, vous en êtes où, M. le premier ministre, dans votre réflexion? M. Legault : Il n'y a rien de décidé pour demain ou après-demain. Donc, on regarde à chaque matin la situation, puis on prend les décisions qui s'appliquent, mais, autant pour les décisions qui ont été prises dans le passé que pour les décisions dans le futur, on les prend le matin, puis ce n'est jamais noir ou blanc. La seule chose dont je suis fier, c'est que, quand on regarde, en Amérique du Nord, on a été les premiers à mettre des mesures plus sévères de confinement. Donc, je suis très content qu'on ait été les plus sévères. Maintenant, est-ce qu'on va être encore plus sévères dans les prochains jours? C'est possible. Mais on n'est pas là.",2020-03-27
1,202003291,"202003291_96","Le Modérateur : Nous en sommes maintenant à la période de questions. Geneviève Lajoie, Le Journal de Québec. Mme Lajoie (Geneviève) : Bonjour, messieurs. Jusqu'à maintenant, vous avez mis en place des mesures, jour après jour, de manière très graduelle. Ça a commencé par les écoles, les entreprises. J'imagine que... on doit s'imaginer aussi que ce sera pareil pour la sortie du confinement, c'est-à-dire graduel, progressif. Est-ce que, donc, on doit s'attendre à ce que ce ne sont pas toutes les entreprises qui pourront réouvrir à partir de la mi-avril? M. Legault : Bien, effectivement, on aura un plan de réouverture qui sera graduel. Mais, quand on verra la lumière au bout du tunnel, quant à moi, le plus vite sera le mieux. Donc, moi, je veux... Puis on prend les précautions. Actuellement, Pierre Fitzgibbon, le ministre de l'Économie, là, sa job, c'est de s'assurer que, dès qu'on va être passés au travers, les entreprises soient prêtes à réouvrir.",2020-03-29
2,202003291,"202003291_244","Mais, autant que faire se peut, on essaie de diminuer les expositions. Par contre, pour le maintien des services essentiels, ça se peut que certaines femmes enceintes, sous conditions respectées, pourraient continuer à travailler en milieux de soins. Mais ça, c'est une décision aussi qui se prend localement en fonction des capacités, puis etc. Ce qu'on veut éviter, par exemple, c'est des infirmières qui font trois, quatre cycles de jour, là, puis qu'elles sont tellement fatiguées qu'il pourrait y avoir des erreurs, là. Mais on ne prend pas de chance, je vous dirais, avec les mesures qu'on va mettre en place, pour exposer la femme enceinte. Le Modérateur : Merci. Maintenant, Mylène Crête, Le Devoir. Mme Crête (Mylène) : Bonjour, M. Legault, M. Arruda. J'aimerais savoir pourquoi est-ce que vous avez lancé un appel aux écoles pour qu'elles vous remettent les masques qu'elles ont en leur possession? M. Legault : Bien, on a demandé à tout le monde, les villes, les écoles, les entreprises, tous ceux qui ont des masques, qui ont de l'équipement médical, il faut le ramener dans le réseau médical pour être capable de bien contrôler l'évolution, parce que, partout dans le monde, c'est rationné. Donc, évidemment, jusqu'à présent, là, il n'y a pas d'inquiétudes à court terme, mais, dépendamment de la hauteur qu'on atteindra dans le «peak», on pourrait en avoir de besoin, donc on a tout rapatrié ce qu'on était capables de rapatrier. Mme Crête (Mylène) : Et est-ce que vous savez combien de masques, comme ça, vous avez ou vous pensez récupérer? M. Legault : Ah! je n'ai pas le nombre récupéré, mais on a le nombre, à chaque jour, qu'on a en notre possession, on regarde l'utilisation journalière, on regarde les commandes qui vont rentrer aujourd'hui, donc on suit le nombre de masques, on suit le nombre de gants, on suit le nombre de jaquettes ou de blouses. Donc, c'est suivi, là, de façon détaillée. Mme Crête (Mylène) : ...savez pas si ça fait une grosse différence de réquisitionner ces masques-là? M. Legault : Ce n'est pas des volumes importants. Le Modérateur : Hugo Lavallée, Radio-Canada. M. Lavallée (Hugo) : Oui.",2020-03-29
1,202003301,"202003301_200","Le Modérateur : Merci. Prochaine question, Alain Laforest, TVA. M. Laforest (Alain) : Je vais rebondir là-dessus, M. le premier ministre. Est-ce que vous préparez les Québécois à une plus longue période de confinement, compte tenu que vous venez de dire : On ne sait pas combien de temps va durer cette crise-là? M. Legault : Oui, bien là, pour l'instant, ce qu'on a dit, c'est que toutes les entreprises sont fermées jusqu'au 13 avril. Ça sera réévalué d'ici le 13 avril. Il faut comprendre, là, que, si on excepte quelques États aux États-Unis, on est à peu près le seul État qui a fermé les entreprises autres que les commerces, donc j'inclus là-dedans les entreprises manufacturières, les chantiers de construction, etc. On a aussi annoncé jusqu'à présent que les écoles resteraient fermées jusqu'au 1er mai. Bien, ça reste encore l'objectif, mais on réévalue puis on va réévaluer, au cours des prochains jours, des prochaines semaines, la situation. M. Laforest (Alain) : Vous avez abordé d'entrée de jeu, là, un sujet qu'on a discuté souvent, le fameux équipement, particulièrement les masques de protection. Selon vos estimations, particulièrement pour Montréal, vous en avez pour combien de temps? Si vous demandez au personnel et vous regardez l'optique de les nettoyer, c'est qu'on n'est pas loin de la rupture, là. M. Legault : Bon, d'abord, on ne regarde pas ça région par région, parce que nous, on s'assure que toutes les régions aient, en proportion de leur population puis des besoins dans les hôpitaux, suffisamment d'équipement. Donc, s'il y a un problème, bien, ça sera un problème partout, mais ça ne sera pas un problème dans certaines régions. On a des équipements pour le court terme.",2020-03-30
2,202003301,"202003301_265","Bon, on sait qu'il y a certaines communautés qui sont plus touchées, par exemple, la communauté juive. Donc, on a parlé avec les gens de chez CJA. Le directeur de la santé publique a une rencontre aujourd'hui, le directeur de la santé publique des Laurentides, avec la communauté juive orthodoxe de Boisbriand. Donc, on essaie, cas par cas, quand il y a des situations, que ce soit à Côte-Saint-Luc, que ce soit à Boisbriand, d'intervenir puis de mettre en place rapidement toutes les mesures avec l'appui de la communauté. Jusqu'à maintenant, ça se passe très bien. Le Modérateur : Hugo Lavallée, Radio-Canada. M. Lavallée (Hugo) : Oui, bonjour. M. le premier ministre, il y a plusieurs des mesures que vous avez annoncées ou que le gouvernement fédéral a annoncées pour lesquelles on s'approche du délai de 12 à 14 jours qui avait été évoqué pour voir les fruits de ces mesures-là. On pense, par exemple, à la fermeture des écoles, fermeture des infrastructures municipales, fermeture des frontières, des centres d'achats. Un peu plus tard cette semaine, aussi, on atteindra ce délai-là. Donc, est-ce qu'on doit comprendre que l'heure de vérité est arrivée, que c'est cette semaine qu'on va être en mesure de déterminer si ces mesures-là sont ou pas efficaces? M. Arruda (Horacio) : Bien, l'heure de vérité est à chaque jour, si vous le permettez. Actuellement, le taux de croissance de nos cas n'est pas, même s'il est important... puis il faut comprendre qu'actuellement il y a du «backlog» de tests. Il y a des gens qui ont été testés il y a quelques jours, qui auraient dû être comptés il y a quelques jours, mais qui sont comptés une seule journée, puis on va finir par rééquilibrer, en fin de compte, la quantité de tests, le besoin et puis le résultat d'analyses pour qu'on en ait au maximum. On est même à évaluer des nouveaux tests pour lesquels on pourrait avoir la réponse sur-le-champ. Donc, vous comprendrez que c'est une situation très, très évolutive. Ce que je peux vous dire, c'est qu'on ajoute des mesures aussi, hein? On a parlé de ça au tout début, les premières mesures qu'on a prises, à 12 jours, elles ont probablement, dans ma...",2020-03-30
3,202003301,"202003301_331","Mme Senay (Cathy) : ... Le Modérateur : Juste un instant, Cathy. C'est-u possible de répéter en français concernant la communauté juive de Montréal, là, pour le bénéfice de nos collègues de la télévision? M. Arruda (Horacio) : Bonjour. Il faut comprendre qu'actuellement c'est le directeur de santé publique des Laurentides, Dr Éric Goyer, qui est responsable de faire l'analyse sous-régionale de son territoire. Dans la communauté dont on parle, qui est médiatisée, il y a une relation importante avec la communauté de New York. O.K.? Ce n'est pas sur la base de la religion ou de quoi que ce soit que les décisions sont prises. Elles sont prises sur la base de l'épidémiologie, qui est notre diagnostic populationnel, c'est-à-dire qu'il y a, dans cette communauté, des gens qui sont atteints par la COVID-19, qui a été importée probablement... soit d'ailleurs, ici, au Québec, mais soit aussi de New York, ce qui est une hypothèse importante. Pour les protéger, pour s'assurer de diminuer l'impact de cette épidémie à l'intérieur de cette communauté tissée très serrée, des mesures ont été prises comme fermeture d'écoles, synagogues, etc. Des tests de laboratoire récemment arrivés nous ont confirmé la présence de plusieurs cas, notamment chez des enfants et des jeunes, qui pourraient transmettre la maladie à l'intérieur de la communauté ainsi qu'à l'extérieur. En collaboration avec la communauté, le directeur de la santé publique a augmenté le niveau d'intervention, c'est-à-dire, après avoir fermé des écoles, fait des recommandations, ils vont surveiller la situation, s'assurer que les gens aient accès à des soins et un traitement adéquat et éviter que cette zone vienne contaminer, si vous voulez, les environs, parce que ce n'est pas une communauté fermée. Il y aura donc un contrôle en collaboration avec la communauté. C'est des citoyens qui veulent faire leur part pour ne pas être la source d'une contamination au Québec. Mme Senay (Cathy) : Ma deuxième...",2020-03-30
