"group","doc_id","unique_phrase_id","sentences","date"
1,202003251,"202003251_90","À bien des égards, nous faisons en sorte que les gens évitent les contacts. Nous ne pouvons pas encore sortir en catastrophe, jusqu'à présent, nous pensons pouvoir continuer ainsi. Les gens sont très réceptifs. Nous verrons si nous pouvons aller plus loin avec davantage de renforts, nous verrons si d'autres pays obtiendront de l'aide grâce à ces mesures. Encore une fois, j'étais ici hier, mais je dois poser une question : la situation est différente en Allemagne. En Allemagne, on discute d'une étude de l'université de Hong Kong, selon laquelle 44 % des personnes infectées le sont avant de présenter des symptômes. Cette étude porte sur une centaine de personnes. Cette étude fait le tour de l'Allemagne, ce qui signifie que les personnes ne présentant pas de symptômes peuvent être infectieuses. Vous voyez les choses différemment. Je suppose que c'est à cette étude que je pense, et qu'il ne s'agit pas de personnes sans symptômes, mais de cas sans papiers, c'est-à-dire de personnes qui ne se sont pas présentées aux services de santé. Nous plaçons la barre plus bas. Nous demandons aux personnes présentant des symptômes légers de rester chez elles, alors qu'elles n'auraient pas été prises en charge par le système de santé. Il est évident que si l'on inclut ces personnes, on obtient un groupe assez important qui peut être infectieux. Il est certain que des personnes ne présentant aucun symptôme peuvent être infectées, mais c'est très rare par rapport à la quantité d'infection transmise par les personnes présentant des symptômes. ""Nous ne cherchons pas à éliminer complètement l'infection, la maladie est là pour rester, mais nous voulons la réduire autant que possible. Nous devons aplanir la courbe et faire fonctionner le système de santé. Nous estimons que cela peut se faire en éliminant les personnes qui présentent des symptômes. Vous pouvez infecter quoi que vous fassiez - nous n'avons pas la possibilité d'éliminer l'infection de la société. Nous devons réglementer et donner les bons conseils afin de réduire la propagation de l'infection. C'est l'idée et la stratégie qui sous-tendent notre action. Je crois qu'il s'agit d'une autre étude, qui a examiné des couples dont les deux membres sont atteints de la maladie, et dont l'un d'entre eux l'a contractée en premier, puis ils ont testé le temps nécessaire. - Je l'ai vu aussi.","2020-03-25"
1,202003301,"202003301_165","Vous devrez demander au Conseil suédois de la sécurité, mais pour autant que je sache, il est pratiquement prêt. Je suis un représentant de la sécurité dans le domaine des soins aux personnes âgées, et je suis actif dans les municipalités. Comment puis-je assurer la sécurité de mes collègues ? Un exemple : dans mon bureau, il y a une personne infectée. On s'est interrogé sur l'équipement à utiliser. Mais si vous vous adressez au 1177, on vous dit qu'il faut attendre d'avoir des symptômes. Ne devriez-vous pas agir différemment pour prévenir le risque d'infection ou la propagation de l'infection dans la maison de repos ? Comment pensez-vous qu'il en soit ainsi ? Lorsqu'il y a une personne infectée, le personnel doit-il être testé ? Ne devriez-vous pas agir plus rapidement ? Pourquoi attendre que la personne présente des symptômes ? Deux réponses : premièrement, il incombe toujours au lieu de travail et à l'employeur d'élaborer un plan qui fonctionne au niveau local et qui soit ancré, afin que les employés se sentent en sécurité. Deuxièmement, vous ne devriez pas ou ne pouvez pas tester des personnes qui ne présentent pas de symptômes, les tests ne sont pas conçus pour cela. Merci d'être venus, vous pouvez vous détendre maintenant lorsque vous vous présentez et posez des questions","2020-03-30"
1,202004011,"202004011_49","Stockholm a examiné de plus près la situation et vérifie si toutes les personnes diagnostiquées sont décédées dans le registre des décès. Cela signifie que nous aurons à l'avenir un nombre de décès apparemment plus élevé qu'auparavant. Les personnes décédées sont principalement des personnes très âgées, comme c'est le cas dans d'autres pays. Le fait qu'il y ait ensuite des cas occasionnels dans d'autres groupes d'âge est normal lorsqu'il s'agit d'une maladie commune à tous les groupes d'âge. Il est important aujourd'hui de ne pas sortir de la courbe jaune, mais de continuer à rester sur la courbe bleue, afin que notre système de soins de santé ait la possibilité de soutenir cette évolution à l'avenir. N'oubliez pas de rester à la maison au moindre symptôme, et n'oubliez pas que nous devons protéger nos personnes âgées encore plus qu'aujourd'hui. Johan - Je vous remercie. Je voulais répéter ce que j'ai dit lors de la conférence de presse qui s'est tenue il y a une heure au siège du gouvernement, à savoir que nous avons décidé aujourd'hui de règlements et de conseils généraux concernant les mesures. Cela fait partie d'un ensemble plus large de règlements que vous avez vus. Le gouvernement a décidé d'abaisser le seuil d'organisation des rassemblements publics de 500 à 50 personnes. Des décisions ont été prises concernant les ordonnances restrictives dans les maisons de repos et les établissements de soins, à quelques exceptions près bien sûr, qui seront traitées au niveau local. Nous avons déjà été très clairs sur le fait que toutes les personnes qui présentent les moindres symptômes du COVID-19 doivent rester chez elles et éviter les contacts sociaux. Ces conseils et ces règlements visent à combler les lacunes des règlements. Nous avons déjà communiqué une grande partie de ces informations, par exemple sur notre site web, lors de conférences de presse, etc. Tout d'abord, sur la base de l'ordonnance sur la prévention des infections, nous prescrivons que toutes les activités, c'est-à-dire les entreprises publiques et privées, les municipalités, les activités municipales, les associations et les communautés religieuses, doivent veiller à prendre les mesures appropriées pour limiter la propagation de l'infection. C'est une exigence pour les opérateurs. Les mesures doivent alors être basées sur les recommandations de l'autorité ou du médecin spécialiste des maladies infectieuses ou sur d'autres connaissances disponibles.","2020-04-01"
2,202004011,"202004011_292","Notre message est de bouger davantage, de faire plus d'exercice, mais dans des conditions sûres, afin de prévenir les effets négatifs de la promiscuité. Comment, en tant qu'organisateur d'un entraînement de football ou d'un événement alimentaire, pouvez-vous garantir les conditions requises pour réduire la propagation des infections ? Par exemple, qu'il y ait des espaces pour l'hygiène. Discutez de l'importance de l'hygiène. Si le contact corporel est nécessaire pendant l'entraînement, par exemple. Et qu'il n'y ait pas d'enfants, de jeunes ou d'adultes présentant des symptômes. Et même dans ces groupes, il y a des groupes à risque qui sont inclus dans la réglementation. Ces conseils doivent être lus dans leur intégralité ; ils s'adressent également aux organisateurs. Si vous ne pouvez pas organiser la manifestation, c'est une bonne chose qu'elle soit annulée ; si vous pouvez l'organiser, c'est une bonne chose que vous fassiez du sport"".","2020-04-01"
1,202004021,"202004021_161","Nous constatons également que des personnes meurent de la grippe ordinaire à un jeune âge, mais cela n'est pas reconnu"" -Gothenburgsposten, vous avez tenu une réunion hier sur l'élargissement des tests. Nous avons reçu une mission du gouvernement sur cette question, que nous sommes en train d'analyser. Je n'ai pas participé à la réunion, mais des solutions auraient dû être trouvées. Cela ne se fera pas en un jour, mais il est important de mettre en adéquation les moyens mis à disposition, du côté des laboratoires, avec les moyens mis à disposition du côté des soins de santé. Ce travail a commencé. Nous continuerons à donner la priorité au dépistage de toutes les personnes qui se présentent aux services de santé avec des symptômes. Cela nous permettra de mieux tester les personnes qui travaillent avec les personnes âgées - c'est très bien, et ce sera une priorité. Ensuite, nous examinerons les possibilités et les besoins des différents secteurs socialement importants à tester. Mais c'est un grand appareil"" - Ekot ici : Un tiers des personnes en maison de retraite sont infectées, montre Ekot... - Un tiers des maisons de retraite de Stockholm ont eu des cas, je crois. C'est une grande différence - Il y a aussi un grand nombre de cas confirmés dans les services de soins à domicile. La stratégie de l'Agence de santé publique a été de construire un mur autour des personnes âgées, cela n'a pas fonctionné, quelle est la gravité de la situation ? - Très grave, bien sûr.","2020-04-02"
2,202004021,"202004021_178","Mais nous avons un dialogue continu à ce sujet, parce que c'est la base pour discuter de la façon de s'améliorer. Même si le problème n'est pas aussi grave dans d'autres régions du pays qu'à Stockholm, il peut y avoir des problèmes similaires. Y a-t-il lieu de fixer des exigences plus claires en matière d'équipement de protection dans les maisons de repos ? Nous ne savons pas si c'est l'équipement de protection qui pose problème. L'expérience montre qu'il n'y a pas d'exigences particulièrement élevées en matière d'équipement de protection dans cet environnement particulier. Ici, ce sont probablement les rencontres avec des personnes infectées qui sont la cause principale - le travailleur municipal : J'ai parlé à du personnel de soins à domicile qui m'a dit qu'il n'utilisait pas d'équipement de protection s'il recevait des personnes présentant des symptômes respiratoires sans savoir de quel type de maladie il s'agissait - Lorsqu'il s'agit de savoir quel équipement de protection utiliser pour différentes tâches, c'est le superviseur qui fait l'analyse et qui doit veiller à ce que l'équipement de protection soit disponible. Nous avons ce dialogue avec les régions et les municipalités du pays. Mais ce n'est pas nous qui vous dirons exactement ce dont vous avez besoin dans chaque situation, c'est vous qui devez le faire là où vous travaillez - pour pouvoir décrire la situation, pour pouvoir obtenir des conseils sur ce dont vous avez besoin. Surtout, parce que vous devez utiliser l'équipement de protection là où il est nécessaire, et non ""pour la sécurité"". ""C'est tellement contradictoire que ça n'existe pas"", dit quelqu'un. ""Nous ne devrions pas aller au travail si nous toussons, mais nous devrions aller voir un retraité même s'il tousse"".","2020-04-02"
1,202004061,"202004061_34","Toutes les régions y ont accès, ce qui permet d'adapter la planification aux nouvelles données, qui devraient refléter la situation en Suède un peu mieux que les données chinoises. Mais nous verrons avec le temps. Nous travaillons à l'aplanissement de la courbe, je pense que nous y sommes parvenus, vous pouvez voir certains effets que d'autres influences cessent de circuler, nous avons une bonne part du nombre de lits d'hôpitaux dont Johanna Sandwall parle plus en détail. C'est ce qui nous préoccupe le plus aujourd'hui : le fait que nous ayons introduit l'infection dans tant de maisons de retraite, en particulier à Stockholm. C'est très triste à bien des égards - les personnes sont gravement touchées par cette situation - beaucoup perdent des proches. Il est très important que toutes les personnes concernées retournent dans leur organisation et réfléchissent à ce qu'elles peuvent faire de mieux - le personnel devrait se rendre à domicile au moindre symptôme, nous nous efforçons de faire en sorte que les personnes soient testées afin qu'elles sachent ce qu'elles ont, et il est important qu'elles suivent les routines de base pour réduire la propagation de l'infection. Nous cherchons, avec d'autres et avec les gouvernements, à examiner de plus près certaines maisons de retraite afin d'avoir une meilleure idée de ce que nous pouvons faire pour arrêter la propagation de l'infection, mais il s'agit d'une préoccupation majeure et d'une des principales raisons de la mort. Mes collègues nordiques n'ont pas le même problème - la question de savoir s'ils sont meilleurs est en cours de discussion. C'est blanc quand on parle d'équipements de protection - ils ne résolvent pas les problèmes, surtout dans les maisons de retraite, où le maintien à domicile en cas de maladie reste la base - si vous voulez arrêter la propagation de l'infection entre les patients, ce sont les routines d'hygiène de base qui sont importantes - désinfectant pour les mains, lavage des mains et équipements de protection. C'est la chose la plus importante dans les maisons de retraite. Pour protéger le personnel, il existe différents types de respirateurs.","2020-04-06"
2,202004061,"202004061_98","Nous sommes en train d'analyser les résultats de l'étude. Dans deux jours. - D'ici la fin de la semaine ? - Oui. - A partir de Tt. J'allais poser une question sur le fait que Boris Johnson est tombé malade et qu'il est soigné, mais on ne sait pas si c'est grave. En Suède, Stefan Löfven dit qu'il n'a pas été testé parce qu'il n'a pas de symptômes. Quelle est l'opinion de l'Agence de santé publique de Suède, le gouvernement frontalier, sur le test de dépistage du coronavirus ou le test de dépistage des personnes qui en sont atteintes ? Il serait très dangereux.","2020-04-06"
3,202004061,"202004061_107","- Oui. -Josef Svenberg de D N. A propos des masques.","2020-04-06"
4,202004061,"202004061_112","Non. La base est ferme : les masques doivent être utilisés là où c'est nécessaire - dans les soins de santé, où l'on peut créer des situations où l'on peut propager une infection que l'on ne peut prévenir qu'avec une protection respiratoire adéquate, c'est là qu'ils doivent être utilisés. Dans la communauté ? Rien n'indique qu'ils protègent. Il s'agit de ne pas propager l'infection soi-même. Il existe une possibilité théorique - mais nous disons qu'il faut rester à la maison si l'on a des symptômes - alors que dans ces pays, on dit qu'il faut porter un masque si l'on tousse - mais étant donné que l'on peut transmettre l'infection si l'on est asymptomatique, le port d'un masque ne présente-t-il pas un intérêt ? - Je pense qu'il faut s'en tenir à l'essentiel - rester à la maison si l'on est malade. Les raisons de l'infection, il y en a, mais la proportion varie beaucoup d'une étude à l'autre, semble se situer autour de 10 %, ce qui est peu. L'important est de se débarrasser du plus grand nombre possible d'infections pour que le système de santé puisse fonctionner ; si nous pouvons nous débarrasser des 90 % de personnes infectées qui présentent des symptômes, c'est la meilleure chose à faire. Créer un faux sentiment de sécurité avec des masques peut être très négatif. Mia Pettersson, G P. À propos de la protection non approuvée, y a-t-il quelque chose de particulier qui vous a incité à demander une protection non approuvée ? Oui, il y a eu une grande discussion avec beaucoup de gens, et certains dans les médias, sur le fait que nous refusons des contrats assez importants, avec d'autres pays, et surtout lorsque nous ne jugeons pas qu'ils ont la bonne qualité. Voilà pour le contexte.","2020-04-06"
