"group","doc_id","unique_phrase_id","sentences","date"
1,202003251,"202003251_14","Nous avons 100 à 200 cas par jour depuis quelques semaines. Nous constatons une augmentation du nombre de cas au-delà de 70. La fin de la courbe, la tendance à la baisse, est due au fait que nous ne disposons pas de données comme auparavant. Environ 2500 cas en Suède, environ 40 décès, et l'unité de soins intensifs a traité jusqu'à présent 144 patients, certains sortis de l'hôpital, d'autres décédés. Les informations que nous recevons des régions et des soins intensifs indiquent que la pression se situe principalement à Stockholm. Il y a également une certaine pression dans d'autres grandes villes, dans le reste du pays, à l'exception de l'Östergötland et du Sörmland, les régions voisines, où la situation est plutôt calme. Mais il y a des signes de propagation dans toutes les régions du pays.","2020-03-25"
2,202003251,"202003251_22","En ce qui concerne les soins intensifs et l'âge, nous avons encore une forte proportion de personnes âgées de 50 à 59 ans, et nous pensons que cela est dû au fait que ce groupe a beaucoup voyagé. La plupart des cas restent dans ce groupe. Cela se traduit par un plus grand nombre de cas de soins intensifs dans ces groupes. Nous avons relativement peu de cas parmi les personnes âgées qui sont infectées, et pas mal de cas de soins intensifs dans ces groupes, où les gens sont très malades. Un message : il s'agit d'une maladie dangereuse, elle peut l'être même dans d'autres groupes, mais ceux qui sont traités en soins intensifs et qui sont plus jeunes s'en sortent pour la plupart et peuvent vivre en bonne santé par la suite. La maladie n'est pas aussi grave qu'elle en a l'air. Nous avons parlé des tests, de la raison pour laquelle la Suède en fait si peu. Nous en faisons de plus en plus chaque semaine. Nous testons autant que les laboratoires et les soins médicaux ont le temps de le faire, cela évolue de semaine en semaine. La pénurie ne se situe pas au niveau des laboratoires, nous proposons aux régions d'utiliser leurs ressources. Le problème n'est pas là pour l'instant, mais dans la mise en œuvre des soins de santé et dans la bonne gestion de ces derniers. Mais l'augmentation va se poursuivre. Nous ferons de plus en plus de tests. L'intérêt des tests est qu'ils influencent les actions. En ce moment, des tests ont lieu dans les régions, en particulier dans le domaine des soins de santé. Deuxièmement, le personnel travaillant avec les personnes âgées, afin de prévenir les infections. Dans la période actuelle, cela n'entraîne pas de changements dans la gestion. La stratégie de travail reste la même : Nous continuons à essayer de réduire la vitesse de propagation de l'infection. Pour ce faire, il faut rester à la maison si l'on est malade. Vous pouvez vous concentrer sur d'autres choses, penser à voyager, et surtout ne pas rendre visite à des parents âgés pendant la période de Pâques. Les grands rassemblements sont interdits. Ces derniers jours, nous avons parlé des réglementations relatives aux activités dans les bars, les restaurants et les cafés - nous pensons qu'il est bon de travailler à domicile, mais cela doit convenir aux employés et aux employeurs, et il est important d'avoir un dialogue. Comme vous le savez, les écoles secondaires et les universités font partie de celles qui enseignent à distance. La deuxième question est d'éloigner l'infection des personnes âgées, notamment pour les soins de santé. Elles ne finiront peut-être pas dans une unité de soins intensifs, mais si c'est le cas, ce sera beaucoup de temps, de ressources et de souffrances pour elles et leur entourage. Il est important de maintenir les structures, afin que moins de personnes soient touchées. C'est ce que nous essayons de faire, éviter les pics élevés qui nécessitent beaucoup de ressources de soins de santé et causent beaucoup de problèmes, mais plutôt aplanir la courbe pour que le système de soins de santé ait le temps de s'adapter et de fournir des soins de manière satisfaisante. Comme Anders Tegnell l'a décrit, la situation est inchangée dans les régions métropolitaines, qui comptent le plus grand nombre de cas, c'est l'image que nous donnent les équipes de gestion spéciales, les médecins et d'autres forums. Nous avons parlé de l'importance de coopérer avec l'administration suédoise du matériel de défense pour s'assurer que le matériel arrive aussi efficacement que possible. L'administration suédoise du matériel de défense a une compétence remarquable dans ce domaine et nous avons une bonne expérience de la coopération dans le passé. Le soutien apporté par les forces de défense aux soins médicaux est une autre preuve de cette bonne coopération, qui repose sur une longue expérience de confiance. Un exemple concret est la ressource d'assurance pour la Région Skåne - un renforcement de la médecine d'urgence qui a été développé au cours des années - mais qui est maintenant demandé de façon urgente - je le mentionne parce que cela viendra plus tard - la transition qui est actuellement en cours peut être renforcée avec plus de places dans les unités de soins intensifs - nous distribuons le personnel, et nous soutenons et soulageons le fardeau avec des contributions à d'autres activités - c'est aussi une assurance.","2020-03-25"
3,202003251,"202003251_55","Je tiens également à souligner le soutien mutuel des régions - aucune mesure nationale ne doit court-circuiter ce système, mais l'objectif de la mission nationale est de soutenir et de renforcer - et d'assurer la coordination nationale. Indépendamment de la mission du gouvernement et des besoins, le travail du Conseil national de la santé et du bien-être sera basé sur des faits et sur ce qui est rapporté - nous devons être en mesure de l'analyser afin de coordonner au niveau national dans cette situation. Ensuite, nous devons renforcer cela - j'ai pris l'exemple des travaux matériels - nous avons intensifié le travail sur les délais critiques avec le registre des soins intensifs et d'autres réseaux de référence, nous utilisons ce qui existe. Enfin, je voudrais souligner que le rôle de coordinateur national de toutes ces tâches inclut également le fait que lorsque nous recevons des informations confirmées de la part des organisations d'intervention d'urgence indiquant que davantage de clarté et de conseils avec des recommandations sont nécessaires, nous agissons en conséquence et fournissons un retour d'information aux régions. DE fait tout ce qui est en son pouvoir pour répondre aux besoins de la population et assurer la sécurité du personnel. Il est important d'être clair à ce sujet - de s'assurer que l'aide à la décision et les recommandations sont en place et qu'elles sont claires. Svante Werger, MSB : ""Nous nous efforçons maintenant de faire en sorte que l'ensemble de la société puisse faire face à une situation qui s'aggrave avec le temps, en particulier dans les activités socialement importantes. Nous identifions les lacunes et les besoins afin qu'un soutien soit mis en place - je tiens à remercier tous ceux qui y contribuent. Nous avons recommandé aux personnes âgées et à d'autres personnes de réduire leurs contacts avec les autres - cette recommandation est toujours d'actualité. Les autres citoyens et les municipalités sont donc plus sollicités - nous l'avons reconnu très tôt. Vendredi dernier, nous avons demandé de contribuer à une solution plus globale sur la manière dont les municipalités peuvent recevoir un soutien. Nous avons publié des informations sur la manière dont nous relevons le défi avec d'autres organisations, et je les partagerai avec certaines d'entre elles. Je m'arrêterai là, puis nous passerons aux questions, un peu plus rapidement car nous avons une autre présentation à faire. Nous commencerons par la première question, celle d'Ekot, qui s'adresse à l'Office national de la santé et de la protection sociale et qui porte sur l'équipement de protection des travailleurs de la santé, dont les stocks commencent à s'épuiser. L'objectif est que l'équipement de protection du personnel soignant ne soit pas épuisé. L'objectif est de travailler à la mise à jour des recommandations et de veiller à ce que les personnes qui ont besoin d'un équipement de protection puissent y avoir accès. Nous nous en assurons quotidiennement, nous sommes clairs à ce sujet. Nous ne disposons pas de stocks importants, mais nous recevons 6 à 8 appels par jour. Il n'y a pas de limite à l'équipement de protection, nous pouvons accélérer et mieux coordonner, c'est ce que nous faisons maintenant pour mieux redistribuer au niveau national afin qu'il n'y ait pas de pénurie"" - Il n'y a pas de durabilité, comme l'a dit le Conseil national de la santé et du bien-être lui-même, combien de temps peut-on continuer comme ça sans livraisons ? Il n'y a pas de durabilité, comme l'a dit le Conseil national de la santé et du bien-être, combien de temps peut-on continuer ainsi sans livraisons ? Ce que nous avons dit clairement, c'est que nous estimons avoir la capacité de soutenir ... Il y a beaucoup d'achats en cours. Je ne pense pas que nous devions penser au soutien du personnel. Nous sommes en train d'élaborer des recommandations actualisées sur la manière d'utiliser l'équipement de protection - nous avons commencé très haut, mais nous en avons appris davantage sur la maladie - afin de mieux cibler l'équipement de protection, ce qui est fait avec le Conseil national de la santé et du bien-être, nous ne recevons pas de signaux de problèmes aigus, mais l'équipement de protection devrait être utilisé là où il fait le plus de bien - et c'est le cas maintenant. Johan Nilsson, Tt, question à Anders Tegnell : De nombreuses personnes décédées auraient eu des maladies sous-jacentes, avec du diabète et de l'hypertension, mais c'est courant chez les personnes âgées. Savons-nous vraiment à quoi ces maladies ont contribué, ou sont-elles fortement surreprésentées ? Je ne sais pas vraiment ce que vous demandez - L'hypertension et le diabète sont considérés comme des facteurs de risque, mais comment savoir si tant de personnes dans ce groupe en sont atteintes ? Nous travaillons sur les données suédoises, heureusement nous avons assez peu de personnes décédées. Ce que nous constatons dans d'autres pays, c'est que le diabète augmente le risque, mais que c'est l'âge qui a un impact : sur l'ensemble des personnes atteintes de diabète, très peu meurent. Si j'ai un diabète de type 2, suis-je dans le groupe à risque ? Nous signalons les personnes de plus de 70 ans, d'autres peuvent être dans le groupe à risque, mais discutez avec votre médecin, ce n'est pas une maladie unique et il y a beaucoup d'indications que vous réagissez de la même manière qu'avec une grippe ordinaire. Si vous l'avez bien supportée, de nombreux éléments indiquent que vous pouvez y faire face. Il n'est pas nécessaire d'ajouter des mesures spéciales - La responsabilité, les gens disent que ce n'est pas suffisant.","2020-03-25"
4,202003251,"202003251_108","Nous devons réglementer et donner les bons conseils afin de réduire la propagation de l'infection. C'est l'idée et la stratégie qui sous-tendent notre action. Je crois qu'il s'agit d'une autre étude, qui a examiné des couples dont les deux membres sont atteints de la maladie, et dont l'un d'entre eux l'a contractée en premier, puis ils ont testé le temps nécessaire. - Je l'ai vu aussi. Notre statisticien l'a examinée et elle est basée sur le fait qu'il n'y a pas de chiffre noir, et il y a beaucoup de choses dans cette étude sur lesquelles vous pouvez réfléchir, à savoir si elle reflète la réalité"" - Il est peut-être temps de vous remercier pour cette présentation et d'inviter le groupe suivant. Après la présentation suivante, nous aurons l'occasion de faire des interviews. Nous avons joint Fredrik Lennartsson, chef de département à l'Association suédoise des autorités locales et des régions, Martin Ärnlöv de la Croix-Rouge et Georgios Kontorinis de l'Association suédoise de protection civile. Merci beaucoup, voici les informations qui ont été publiées récemment, et elles se présentent comme suit, en résumé. Nous avons deux modèles différents qui, ensemble, fournissent une solution complète pour le soutien volontaire aux municipalités, en particulier pour les personnes âgées qui doivent réduire leurs contacts sociaux et ne peuvent peut-être pas obtenir le soutien de leur famille, de leurs voisins, etc. Le premier modèle consiste à promouvoir les groupes de ressources volontaires (GRV). Le premier modèle consiste à promouvoir les groupes de ressources volontaires (GRV), qui sont établis dans 155 municipalités (couleur bleue sur la carte) et qui constituent un concept de soutien collectif aux municipalités, un soutien bénévole. Toutefois, les volontaires peuvent provenir de n'importe quelle organisation de défense, et pas seulement de l'Association suédoise de défense civile. Mais aujourd'hui, nous jouons un rôle de coordination nationale dans le cadre de la gestion de la couronne. Nous veillons également à ce qu'il y ait un bureau de coordination, afin que toutes les organisations puissent s'impliquer de manière adéquate. Le second modèle est davantage une solution d'urgence, pour les municipalités qui ne disposent pas d'un groupe de ressources volontaires ou qui n'ont pas résolu la question de la coordination de crise. ""Nous avons fait une déclaration d'intention commune avec l'Association suédoise des autorités locales et régionales, la Confédération suédoise des sports, Save the Children, l'Église de Suède, la Croix-Rouge et les Missions municipales suédoises. Il s'agit d'une offre qui peut être lancée pour les municipalités qui veulent commencer, c'est donc une volonté de commencer, pour les municipalités qui veulent un soutien et une structure. La Croix-Rouge est coordonnée au niveau national, et la responsabilité locale peut varier entre les organisations, en fonction des conditions locales. Je donne la parole à l'Association suédoise de protection civile, puis à la Croix-Rouge, qui peuvent nous dire comment ils envisagent le travail à la lumière de l'accord et de la déclaration commune, et ensuite l'Association suédoise des autorités locales et des régions fera des commentaires. Nous passerons ensuite aux questions. Lors des entretiens individuels, nous aurons l'occasion de nous entretenir avec des représentants de l'Église de Suède, de la Confédération suédoise des sports, de l'armée de l'air suédoise et de Save the Children. ""Je pense qu'il s'agit d'une mobilisation sociale formidable dans cette situation. Merci beaucoup, Georgios Kontorinis, en coopération avec l'Association suédoise des autorités locales et régionales, la Croix-Rouge et d'autres organisations, nous faisons tout ce que nous pouvons pour réduire la propagation du coronavirus et accroître la sécurité des personnes âgées et d'autres groupes à risque dans la société. L'accord signé entre MSB et l'Association suédoise de défense civile renforce considérablement les groupes de ressources volontaires qui existent dans plus de la moitié des municipalités suédoises. Ils sont composés de volontaires formés qui, sous les auspices de la municipalité, apportent un soutien à la société en cas de crise et d'autres événements extraordinaires, comme l'ont montré les incendies de forêt dans le Westmanland en 2011 et l'afflux de migrants en 2015. À quoi peuvent servir les RFA ? Eh bien, à des efforts de communication, à un soutien à l'information dans les soins aux personnes âgées, à un simple soutien humain. L'administration, l'interprétation, le rôle de bras et de jambes supplémentaires pour les municipalités. Quelques exemples concrets : livraison à domicile de médicaments sans ordonnance à Älvkarleby, Uppsala, Norrtälje et Kungälv. Marti n Ärnlöv, secrétaire général de la Croix-Rouge suédoise, les efforts des volontaires sont spontanément activés en temps de crise dans les maisons, les gens s'en soucient davantage. Ce que nous avons devant nous, c'est une période où des personnes appartenant à des groupes à risque, âgées de plus de 70 ans, qui se sentent généralement en bonne santé, sont maintenant isolées, et nous avons, de plusieurs côtés, avec la MSB et l'Association suédoise des autorités locales et des régions, besoin de trouver un autre moyen de coopérer. Save the Children, la Croix-Rouge, la City Mission, l'Église de Suède et la Confédération suédoise des sports coopèrent avec la municipalité pour mobiliser des bénévoles locaux, connus sur place et dans la localité pour ce type d'effort de soutien dans une situation où soit il n'y a pas de groupe de ce type, soit il ne fonctionne pas. Je pense que cet effort va prendre de l'importance dans la période à venir, nous sommes prêts à trouver une coordination locale, quelle que soit l'organisation la plus forte localement pour l'organiser sur place, et la Croix-Rouge suédoise promet d'avoir un rôle global, nous allons bien gérer cela, nous sommes fortement motivés par le fait de ne laisser personne seul, nous pensons que nous pouvons aider à construire un ciment ici ensemble. -Nous, les municipalités et les régions de Suède, avons vu que la pression augmente lorsque les personnes âgées et d'autres ont besoin d'aide pour faire leurs achats lorsqu'elles doivent rester à la maison. Les municipalités ont besoin d'être soulagées afin de pouvoir offrir à ces personnes un soutien à domicile grâce à des services plus simples. Nous sommes donc très heureux que les principaux représentants de la société civile aient accepté de résoudre et de renforcer l'aide apportée à ceux qui en ont besoin. Je suis d'accord avec MSB pour dire que c'est une excellente chose, une manifestation pour résoudre ce problème. 1,5 million de personnes ont plus de 70 ans, nous voyons un risque qu'elles doivent se tourner vers un service de soins à domicile déjà fortement sollicité, qui est accablé par des congés de maladie élevés, nous avons donc contacté la Croix-Rouge pour trouver des moyens d'y parvenir ensemble - c'est la raison pour laquelle nous sommes ici aujourd'hui. C'est extrêmement gratifiant, à la fois précieux pour ceux qui en ont besoin et un soulagement bienvenu pour les municipalités, et une manifestation du fait que nous nous unissons. Merci. Des questions ? Exactement, nous répondons aux questions si quelqu'un en a.","2020-03-25"
1,202003301,"202003301_18","Parmi les patients des unités de soins intensifs, la situation est plus claire, ici nous regardons la proportion, plus claire, comme vous pouvez le voir, beaucoup plus d'hommes que de femmes qui reçoivent des soins intensifs - nous n'avons pas encore de bonne explication à ce sujet. C'est peut-être la chose la plus importante que nous ayons apprise ces derniers jours - parmi les nombreuses discussions sur la manière dont les équipements de protection devraient être utilisés dans les soins de santé. Il est important de l'actualiser en fonction de l'évolution des connaissances. Il ne s'agit en aucun cas d'abaisser le niveau, mais de maintenir un niveau élevé pour le personnel, qui doit être dans cette situation, même si, en tant qu'individus, ils n'ont pas un risque énorme de tomber gravement malades, il est important qu'ils soient aussi en sécurité que possible. Les données ne sont pas basées sur les informations disponibles mais constituent une recommandation générale. Il s'agit toujours d'obtenir une courbe aussi plate que possible - cela y ressemble, nous travaillons dur pour qu'il en soit ainsi. Pour ce faire, nous nous basons sur les deux stratégies principales suivantes : si vous êtes malade, restez chez vous. Ensuite, nous collectons les arrivées et les activités des restaurants. La deuxième chose la plus importante est de réduire les risques pour les personnes âgées et les groupes à risque - ce sont les deux stratégies principales que nous espérons et qui jusqu'à présent nous ont donné une courbe relativement plate, si tout le monde peut suivre cela, alors nous aurons une courbe plate à l'avenir - c'est tout pour moi. Taha Alexandersson : Bonjour de la part du Conseil national de la santé et du bien-être, j'ai pensé vous donner une brève mise à jour de la situation nationale. Je voudrais commencer par parler de la situation du personnel - selon la préparation médicale en cas de catastrophe. La majorité d'entre eux sont en mode renforcement, ce qui signifie que les 21 régions procèdent à des ajustements considérables pour gérer les besoins en soins, comme nous l'avons vu à Stockholm, et comme ils nous l'ont expliqué lors de leurs conférences de presse. Le mode de renforcement concerne également les besoins futurs en matière de soins, de sorte que l'ensemble du roulement, même si la propagation de l'infection n'a pas atteint toutes les régions, comme c'est le cas à Stockholm, est basé sur le respect de la modélisation de l'Agence de santé publique. Plus précisément, les régions ont réduit les opérations chirurgicales non urgentes, qui ne constituent pas une urgence. Les salles d'opération sont reconstruites dans une certaine mesure pour les soins intensifs, et le personnel est recyclé et redéployé. J'en parle parce que cette reconversion et les travaux en cours mettent à rude épreuve de nombreuses catégories de personnel. Dans ce contexte, nous tenons à vous rappeler que tous les gouvernements doivent être en mesure d'assurer les soins à leurs propres résidents.","2020-03-30"
2,202003301,"202003301_83","Grâce à des formations de courte durée, certaines personnes pourraient se reconvertir et soulager les services de santé ou occuper des emplois dans l'industrie verte, ce qui serait favorable à l'économie. Comment pouvons-nous créer la durabilité ? C'est une question qui nous tient à cœur à la MSB. La semaine dernière, nous avons mis l'accent sur quelques domaines : comment protéger les soins de santé, par exemple, mais aussi d'autres choses. Que se passera-t-il si les écoles doivent fermer ? Nous avons décrit les soins nécessaires pour que les parents puissent s'occuper de leurs enfants. Nous avons insisté sur l'importance de la planification, afin que tout fonctionne en cas de pénurie de personnel ou d'autres situations susceptibles de se produire. Le travail est en cours et la DGSM dispose d'outils. Le troisième point concerne les personnes âgées et les autres personnes qui doivent agir pour minimiser les contacts et le risque d'infection. Nous avons mis l'accent sur la société civile, la Croix-Rouge, l'Église de Suède, les missions municipales et d'autres, derrière la dernière organisation, les 18 organisations de défense volontaires. Ensuite, la critique à la source - sur la prévention de la désinformation - nous devenons encore plus vulnérables dans cette situation, soyez vigilants si vous voyez des informations qui vous bouleversent ou vous rendent euphoriques. Nous avons atteint au moins la moitié de la population suédoise grâce à la publicité sur les médias sociaux. Cette semaine, nous serons encore plus visibles, car nous travaillons en étroite collaboration avec l'Agence suédoise de la santé publique et le Conseil social, et ce de plusieurs manières. Concentrez-vous maintenant : En partie sur un plan média large et complet où nous parlons d'information, de spots publicitaires, à la télévision, à la radio, dans la publicité, dans la presse du matin, dans le numérique, etc. Mais aussi la coopération avec un grand nombre d'organisations, d'associations de retraités et d'autres canaux plus ciblés, comme alkompis.se et Information Sweden - pour les nouveaux arrivants. Le contexte est le suivant : nous devons toucher tout le monde, de manière large. Et de manière plus ciblée, à ceux qui sont particulièrement difficiles à atteindre ou à influencer.","2020-03-30"
3,202003301,"202003301_106","Vous m'entendez ? Je suis de Dagens Etc. Une question pour l'Agence de santé publique de Suède. Depuis quelques semaines, nous voyons des cas dans des maisons de retraite en Europe où jusqu'à 20 personnes dans la même maison sont mortes du coronavirus. En Suède, il y a également plusieurs cas de ce type, dont certains sont décédés. Il y a jusqu'à 12 cas suspects. Comment l'Agence suédoise de la santé publique estime-t-elle que la Suède peut empêcher que des scénarios similaires se produisent ici, étant donné qu'il s'agit de groupes à risque ? Qu'est-ce qui distingue la Suède de la France et de l'Espagne ? Ensuite, il y a les logements pour personnes âgées, les sociétés de logement qui n'ont pas de personnel soignant, mais des espaces publics et des patients atteints de démence qui y vivent généralement. Comment les isoler en cas d'infection ? Existe-t-il des recommandations pour éviter qu'ils ne soient touchés ? ""Si nous commençons par la première question, nous disposons d'un certain nombre de recommandations et de conseils pour éviter la propagation de l'infection dans les maisons de retraite. Il est impossible qu'ils soient efficaces à 100 %. Jusqu'à présent, je pense que nous avons assez bien réussi en Suède, mais cela va changer. Il est tout à fait impossible d'éviter complètement les infections. Mais plus on travaille localement et plus on peut tester le personnel, plus l'isolation peut fonctionner, et nous envoyons également des dossiers d'information aux personnes âgées pour qu'elles comprennent mieux. En ce qui concerne les logements pour personnes âgées, nous leur donnons les mêmes conseils qu'aux personnes âgées en général. Il se trouve aussi que les responsables de ces maisons ont beaucoup de conseils à donner sur les demandes de réunions, même là. Je voudrais également ajouter que le Conseil national de la santé et du bien-être a émis des avis et des recommandations à l'intention des municipalités en matière de soins de santé et de logement des personnes âgées, mais qu'il faut aller plus loin. À partir de maintenant, nous prévoyons d'écrire un peu plus sur le travail des services sociaux lors de cette conférence de presse"" - Anders BOlling, DAgens News. Quelles sont les nouvelles recommandations en matière d'équipement de protection et qu'est-ce qui les sous-tend ? ""Lorsque l'on est confronté à une nouvelle maladie, on commence souvent par un niveau de protection élevé lorsqu'on ne sait pas grand-chose, mais on peut ensuite s'adapter. L'OMS est notre ligne directrice, car elle a de l'expérience, et nous nous basons sur elle. C'est avant tout le travail de l'OMS, il n'y a pas encore beaucoup de preuves scientifiques, mais l'OMS est la référence que nous avons ici, il est important que nous fassions à peu près la même chose qu'elle et que nous finissions par l'imiter. Concrètement, cela signifie qu'il existe une base - nous l'avons élaborée en dialogue avec les régions, de sorte qu'elle est développée et convertie en travaux pratiques pour l'équipement de protection dans chaque région - Est-ce que la question de savoir s'il faut utiliser des protège-dents est incluse dans les recommandations, c'est une question brûlante - Pas dans nos recommandations, elle sera élaborée en collaboration lors des discussions. Nous mettons en avant les données disponibles pour porter un jugement et les activités pour lesquelles différents types d'équipements peuvent être utilisés"" - Il y a un risque de crise de confiance, même si l'Agence de santé publique de Suède ne pense pas que les protège-dents sont nécessaires. Mais que se passe-t-il si le personnel le pense ?","2020-03-30"
4,202003301,"202003301_137","Il n'y a pas beaucoup de science, pourquoi ne pas inclure plus de protection ? Je n'ai pas dit qu'il n'y avait pas de science, il n'y a pas d'études scientifiques, c'est l'OMS qui a les meilleures connaissances à l'heure actuelle, et c'est ce qui est raisonnable. C'est ce qui est raisonnable. Aftonbladet, il y a eu des demandes politiques pour des tests de masse de la corona, est-ce prévu ? Nous travaillons avec les régions et le Conseil national de la santé et du bien-être sur les questions d'accessibilité, sur la façon de tester de plus en plus de personnes. Le nombre de personnes testées augmente. Il y a peut-être un potentiel. Mais cela doit être fait de manière organisée, car nous ne devons pas manquer de personnel dans les soins de santé, ces ressources ne doivent pas disparaître. Il faut pouvoir tester le personnel travaillant avec les personnes âgées, il y a encore du chemin à faire et il faut tester plus, on ne teste pas autant qu'il le faudrait. Il est certainement possible de gagner en efficacité en testant d'autres secteurs importants de la société et en veillant à ce qu'ils disposent d'un personnel suffisant, mais cette activité ne doit pas se faire au détriment des deux parties importantes. Nous aurons une réunion mercredi avec les acteurs qui ont des capacités de laboratoire, et toute la chaîne de tests doit être en place. C'est de cela que nous allons discuter, comment y parvenir sans détourner les ressources du service de santé"". Une annonce pourrait-elle être faite cette semaine ? ""Nous allons développer une stratégie, nous verrons. Le gouvernement pourrait proposer une mission, nous verrons à quoi elle ressemble. Nous y travaillons toujours, mais ce n'est pas fixé d'un jour à l'autre, c'est un processus important et compliqué, vous pouvez certainement augmenter le nombre, mais cela doit prendre du temps. -SVT, une question supplémentaire sur l'équipement de protection, à l'ambulance de Luleå, ils sont prêts à utiliser l'équipement de protection max 90 si les livraisons s'épuisent.","2020-03-30"
5,202003301,"202003301_158","Tout ce qui arrive part en même temps. Mais il ne faut pas oublier que la révision des recommandations, la connaissance de l'utilisation des équipements, etc. Si ce sont les ambulanciers ou le personnel médical qui ont besoin du matériel adéquat, ils doivent y avoir accès. Mais non, il n'y a pas de stocks importants et pas de durabilité ou d'approche à long terme. Ce qui entre sort aussi"" -News Aujourd'hui, le président de l'union municipale a alerté sur le manque d'équipement de protection et demande des informations lorsqu'il s'agit, par exemple, du personnel des soins à domicile, sur l'équipement de protection qu'ils doivent utiliser dans les maisons ou en dehors avec les utilisateurs. -Ce type d'information est en cours d'élaboration au niveau régional et municipal sous les auspices du Conseil suédois de la sécurité. Quand sera-t-il disponible ? Vous devrez demander au Conseil suédois de la sécurité, mais pour autant que je sache, il est pratiquement prêt. Je suis un représentant de la sécurité dans le domaine des soins aux personnes âgées, et je suis actif dans les municipalités. Comment puis-je assurer la sécurité de mes collègues ? Un exemple : dans mon bureau, il y a une personne infectée. On s'est interrogé sur l'équipement à utiliser. Mais si vous vous adressez au 1177, on vous dit qu'il faut attendre d'avoir des symptômes. Ne devriez-vous pas agir différemment pour prévenir le risque d'infection ou la propagation de l'infection dans la maison de repos ? Comment pensez-vous qu'il en soit ainsi ? Lorsqu'il y a une personne infectée, le personnel doit-il être testé ? Ne devriez-vous pas agir plus rapidement ?","2020-03-30"
1,202003311,"202003311_11","Si nous regardons plutôt la Suède, et le graphique que vous reconnaissez, les cas signalés par le système de santé : la petite courbe faible, la bleue là, elle est un peu faible pour être visible, mais c'est le nombre de personnes qui sont en soins intensifs. Environ 4 435 cas ont été signalés, dont 407 au cours des dernières 24 heures. d'après ces chiffres, 358 personnes sont soignées dans l'unité de soins intensifs, mais les chiffres varient quelque peu, car il arrive que des éléments soient signalés après coup et qu'il faille les compléter. Vous pouvez notamment constater que le nombre de personnes décédées par jour a été corrigé à l'envers, pour certaines barres. Comme je l'ai dit, il y a un certain retard dans la communication des données. Mais ce que nous savons aujourd'hui, c'est que 180 personnes sont décédées. Oui, la courbe a l'air d'aller dans ce sens, mais ne pensez pas aux derniers jours, ils changeront probablement par la suite. Si nous regardons l'incidence qui a été montrée hier, c'est par groupe d'âge, combien de personnes tombent malades dans un certain groupe d'âge. Pour 100 000 habitants, nous avons une prédominance de personnes âgées de 90 ans et plus. La tendance est que plus on est jeune, moins on a de risques. Ensuite, nous avons la répartition des patients en soins intensifs, ce qui est intéressant, car il s'agit d'une majorité d'hommes et nous n'avons pas d'explication. Cela continue. Les groupes d'âge sont les mêmes que dans les autres pays et les personnes les plus âgées ne sont probablement pas traitées en USI dans la même mesure. Notre stratégie globale reste d'aplanir la courbe des hospitalisations pour que le système de santé puisse faire face à la crise. Pour ce faire, nous essayons de réduire la vitesse de transmission. Le plus important est de recommander aux personnes âgées de se protéger, et nous les y aiderons. Dans ce cadre, le gouvernement a également décidé de mettre en place un ordre de restriction dans les maisons de retraite. Nous avons été chargés de développer le diagnostic de l'infection. La capacité de prélèvement d'échantillons a été augmentée et des efforts seront faits pour aller encore plus loin. Nous avons été chargés d'élaborer une stratégie nationale et de coordonner d'autres acteurs à cette fin. À l'avenir, le plus important est que les patients qui ont besoin d'être testés puissent l'être. Les personnes qui travaillent avec des malades doivent également pouvoir être testées afin de continuer à travailler avec des personnes malades. Enfin, nous espérons que d'autres groupes essentiels pourront être testés afin que les gens puissent continuer à travailler dans de bonnes conditions. Mais nous en saurons plus demain, nous avons une réunion de consultation avec les acteurs externes et les régions pour voir comment cela peut être organisé d'une bonne manière qui nous permette non seulement d'augmenter l'échantillonnage, mais d'une manière qui maximise l'effet de la lutte contre l'infection.","2020-03-31"
