group,doc_id,unique_phrase_id,sentences,date,frame,check
1,202004011,202004011_186,"Nous verrons comment cela se terminera, mais il y a des explications - Ekot. Une question à l'Agence de santé publique de Suède. Après les nouvelles recommandations - la base des recommandations qui ont été transmises lundi aux régions pour qu'elles décident de l'utilisation de l'équipement de protection - les régions ont été laissées libres de décider. Pourquoi n'y a-t-il pas de décision nationale ou de consensus sur ce qui s'applique ? - Tout d'abord, il s'agit d'une responsabilité locale des employeurs en matière d'environnement de travail. Nous avons produit ce qui est maintenant disponible afin qu'il y ait une base locale pour une évaluation. Nous sommes conscients qu'il y a eu beaucoup de discussions à ce sujet et nous allons dialoguer avec les régions pour trouver une façon commune de traiter cette question, où toutes les parties sont impliquées. Avant tout, les employés devraient être confiants qu'il s'agit des meilleures décisions disponibles aujourd'hui, basées sur l'expérience dans le monde. - Pensez-vous qu'il est raisonnable que les différentes régions évaluent différemment ? Qu'il y ait des expériences différentes parmi le personnel, que dans certains endroits on ne veuille pas qu'ils utilisent des masques, peut-être parce qu'ils n'existent pas, mais aussi parce qu'ils ne sont pas recommandés ? - Non. Je pense que la chose la plus importante est d'obtenir un bon ancrage local. L'accessibilité n'a pas du tout joué un rôle dans les discussions que nous avons eues jusqu'à présent. Il peut y avoir des situations où c'est accessible, et alors vous pouvez avoir besoin d'un plan B. Mais il est important de pouvoir avoir des discussions au niveau local et nous veillerons ensemble à ce que les discussions démarrent afin que le personnel puisse se sentir confiant qu'il y a une bonne base."" - Une dernière question pour Johan Karlsson. Ils ne veulent pas que les personnes âgées de plus de 70 ans sortent autant. Les médecins et le personnel de santé pourraient-ils leur rendre visite à domicile afin qu'ils ne sortent pas pour d'autres maladies, etc. Nous aimerions qu'ils sortent, mais pas en même temps que les autres. Quant aux visites à domicile en cas de besoin, je pense que c'est une question locale, mais je ne pense pas que le système de santé ait cette capacité aujourd'hui.",2020-04-01,NA,0
1,202004061,202004061_100,"- D'ici la fin de la semaine ? - Oui. - A partir de Tt. J'allais poser une question sur le fait que Boris Johnson est tombé malade et qu'il est soigné, mais on ne sait pas si c'est grave. En Suède, Stefan Löfven dit qu'il n'a pas été testé parce qu'il n'a pas de symptômes. Quelle est l'opinion de l'Agence de santé publique de Suède, le gouvernement frontalier, sur le test de dépistage du coronavirus ou le test de dépistage des personnes qui en sont atteintes ? Il serait très dangereux.",2020-04-06,NA,0
2,202004061,202004061_107,"- Oui. -Josef Svenberg de D N. A propos des masques. Il y a eu différentes offres. On nous a dit qu'ils n'étaient d'aucune utilité, alors qu'hier on nous a dit qu'ils étaient utiles dans le cadre de l'Agenda. Qu'en est-il ? Non. La base est ferme : les masques doivent être utilisés là où c'est nécessaire - dans les soins de santé, où l'on peut créer des situations où l'on peut propager une infection que l'on ne peut prévenir qu'avec une protection respiratoire adéquate, c'est là qu'ils doivent être utilisés. Dans la communauté ? Rien n'indique qu'ils protègent. Il s'agit de ne pas propager l'infection soi-même. Il existe une possibilité théorique - mais nous disons qu'il faut rester à la maison si l'on a des symptômes - alors que dans ces pays, on dit qu'il faut porter un masque si l'on tousse - mais étant donné que l'on peut transmettre l'infection si l'on est asymptomatique, le port d'un masque ne présente-t-il pas un intérêt ? - Je pense qu'il faut s'en tenir à l'essentiel - rester à la maison si l'on est malade. Les raisons de l'infection, il y en a, mais la proportion varie beaucoup d'une étude à l'autre, semble se situer autour de 10 %, ce qui est peu. L'important est de se débarrasser du plus grand nombre possible d'infections pour que le système de santé puisse fonctionner ; si nous pouvons nous débarrasser des 90 % de personnes infectées qui présentent des symptômes, c'est la meilleure chose à faire. Créer un faux sentiment de sécurité avec des masques peut être très négatif. Mia Pettersson, G P. À propos de la protection non approuvée, y a-t-il quelque chose de particulier qui vous a incité à demander une protection non approuvée ? Oui, il y a eu une grande discussion avec beaucoup de gens, et certains dans les médias, sur le fait que nous refusons des contrats assez importants, avec d'autres pays, et surtout lorsque nous ne jugeons pas qu'ils ont la bonne qualité. Voilà pour le contexte. - D'autres questions ? - Une question complémentaire. De la part d'Ekot. L'équipement que la Pologne a offert à la Suède est-il assez bon pour la Pologne ? La Suède se distingue-t-elle par ses exigences ? - Je ne le pense pas. Les exigences ne sont pas approuvées dans l'UE, mais je ne sais pas ce qu'ils font en Pologne, mais ils ne répondent pas aux normes suédoises, cela s'arrête là. Il y a eu d'autres connexions. Il n'y a pas d'échelle sur la qualité de la protection ? Non. -Pelle Zackrisson, Nyheter Idag. A Anders Tegnell, vous avez dit que l'équipement de protection ne résout jamais aucun problème lorsqu'il s'agit de soins aux personnes âgées. Je vous pose donc la question : Vous devez envisager une situation complexe comme l'infection dans les soins aux personnes âgées dans sa globalité. Si vous pensez qu'elle peut être résolue avec des masques, vous vous trompez. Il faut considérer l'ensemble de la situation, la formation du personnel, sa capacité à rester à la maison, son mode de vie, la manière d'isoler les malades, il faut considérer l'ensemble de la situation, et si vous pensez que les masques - qui sont en pénurie - vont tout résoudre, vous vous trompez"" - Autre question : pouvez-vous nous dire combien de décès il y aura la semaine prochaine ? Nous ne faisons pas de prévisions sur le nombre de décès. Une bonne information, claire et correcte, doit parvenir à tout le monde. C'est important. C'est un facteur de réussite pour la gestion de la pandémie. La DGSM y est revenue régulièrement. En ce moment même, alors que nous sommes ici et que nous tenons une conférence de presse, une conférence de collaboration a lieu avec des communicateurs d'une soixantaine d'autorités et d'organisations. Tous travaillent sur le COVID-19 et les conséquences sociales de la pandémie. Nous nous réunissons chaque semaine pour veiller à ce que la communication soit coordonnée et pour identifier les lacunes et les défis en matière de communication.",2020-04-06,NA,1
1,202004081,202004081_54,"Ce sont des chiffres importants et nous continuerons à les analyser. On a beaucoup discuté, notamment après les informations de ce matin, de la question de savoir qui est infectieux et qui ne l'est pas, ce qui est asymptomatique et ce qui ne l'est pas. L'OMS continue de dire - et nous l'avons toujours dit - que les personnes infectées sont principalement celles qui présentent des symptômes. Il est bien connu que de nombreuses personnes qui contractent la maladie ne présentent pas de symptômes, mais nous ne le savons pas. On dit que 90 % des personnes infectées ne présentent pas de symptômes. Cependant, ces personnes sont relativement rarement infectées. Quelques études, dont une de taille moyenne réalisée à Singapour, indiquent qu'environ 6 à 8 % des personnes infectées ne présentent pas de symptômes. Nous pouvons convenir que toute personne présentant des symptômes reste à la maison et nous éliminerons largement l'infection de la société. L'OMS a clairement indiqué que les masques de protection devaient être utilisés dans le cadre des soins de santé. L'utilisation de masques dans la société est une mesure difficile à mettre en place. Nous savons que si vous présentez des symptômes et que vous êtes malade du COVID-19, un masque facial peut vous protéger contre la propagation de l'infection aux personnes qui vous entourent. Certaines études menées à Hong Kong le suggèrent, mais rien ne prouve qu'il vous protège contre l'infection. Une fois de plus, les preuves suggèrent fortement que si vous avez des symptômes, vous devriez rester à la maison. Cela réduira considérablement la propagation de l'infection. Enfin, notre message principal : si vous avez des symptômes au réveil, restez chez vous. Évitez les contacts sociaux. Si vous avez plus de 70 ans, restez chez vous. Sortez, mais évitez autant que possible les contacts sociaux. Nous avons un certain nombre d'autres mesures à prendre : L'hygiène des mains, le maintien de la distance au sein de la communauté, comme nous l'avons vu dans les photos récentes, sont des éléments importants.",2020-04-08,NA,0
2,202004081,202004081_200,"-Ils disent qu'il est validé par l'hôpital universitaire d'Uppsala. Je ne sais rien à ce sujet. Une question pour le Conseil national de la santé et du bien-être, lorsque vous obtenez du matériel de protection, à quelle vitesse peut-il être testé ? Comment cela ? Si nous achetons... ? Hier, vous avez reçu une grosse cargaison de 500.000. - C'était la région de Karolinska à Stockholm. Ils sont en train de tester, je ne sais pas ce qu'ils ont acheté, soit des choses qui ne sont pas certifiées, soit ils sont en train de les tester, de les tester en tout cas. Pouvez-vous savoir à quelle vitesse un demi-million de masques sont utilisés ? Il n'est pas vraiment possible de répondre à cette question, cela dépend de la manière dont vous fournissez les soins, du nombre de personnel, etc. Il y a plusieurs estimations et prévisions que les régions font, beaucoup de masques sont utilisés - on dit parfois que 80.000 masques sont utilisés par jour à Stockholm. Nous travaillons avec des outils qui nous permettent de voir. Il faut faire appel à toutes les instances pour voir - les tests, les soins de santé municipaux, nous constatons actuellement une pénurie majeure et je consacre mon énergie à assurer la durabilité. Si nous avons la durabilité, nous pourrons peut-être compter davantage - maintenant nous consacrons notre énergie à d'autres choses. - Vous dites que deux régions ont des besoins aigus - lesquelles sont-elles ? - Je ne sais pas. D'habitude, nous avons quelque chose comme ça. Je ne sais pas. Il pourrait y en avoir plus, mais c'est une moyenne.",2020-04-08,NA,1
1,202004101,202004101_189,"Il y a quelques occasions où nous pouvons remonter dans le temps, comme en Corée du Sud, qui est le cas classique, et il y a des soupçons d'événements similaires en Italie, mais dans d'autres pays, de tels événements n'ont pas commencé"". Quand aurez-vous une idée du nombre de personnes infectées dans la région de Stockholm ? Anders Tegnell : ""Eh bien, nous avons un point de mesure, nous en aurons un la semaine prochaine. Karin peut développer cela, mais nous voyons combien de personnes sont immunisées à Stockholm, et après cette mesure, nous aurons probablement une assez bonne idée du nombre de personnes infectées."" - C'est la semaine 17, puis nous faisons le suivi suivant, pour voir combien de personnes ont le génome du virus. Ensuite, nous collectons du sang dans les centres de transfusion, pour voir quelle proportion des personnes qui ont eu une prise de sang sont porteuses du virus. Nous examinons les anticorps dans le cadre de deux études parallèles. Cela permettra de déterminer combien de personnes ont été infectées - une question pour l'Office national de la santé et du bien-être. De nouveaux masques, des millions, ont été annoncés hier. Mais il est difficile d'évaluer les besoins totaux. Pouvez-vous nous en dire plus à ce sujet ? Et aussi : il y a beaucoup d'articles jetables, si j'ai bien compris, de combien d'articles a besoin chaque personne soignée - Question au Conseil national de la santé et du bien-être. De nouveaux masques, des millions, ont été annoncés hier. Mais il est difficile de se faire une idée du besoin total. Pouvez-vous nous en dire plus à ce sujet ? Et aussi : il y a beaucoup d'articles jetables, si j'ai bien compris, combien en faut-il pour chaque soignant ? Ce sont exactement les questions que nous nous posons, et que nous cartographions. À l'origine, l'ECD, le Centre européen de prévention et de contrôle des maladies, nous a indiqué le nombre de sets nécessaires pour prendre soin d'un patient gravement/modérément malade, et le nombre de sets nécessaires pour une personne dans la chambre, ou un médecin traitant, et ainsi de suite. Voilà ce que nous avons... Nous avons reçu des demandes de soutien, ce qui montre que les régions sont en train, peut-être depuis deux ou trois semaines, de faire leurs propres calculs. Mais comme il y a eu une pénurie de matériel, il a été difficile de contrôler si ces masques FFB2 sont utilisés, s'ils doivent être utilisés dans les soins de santé, ou s'ils ont été utilisés conformément aux conditions, même si les patients n'ont pas été traités avec des éléments générateurs d'aérosols et ainsi de suite. C'est au cours des dernières semaines que les régions ont vérifié leur consommation journalière et qu'elle correspond à l'exigence des 24-48 heures, mais pas toutes les régions. Nous ne disposons que d'une description des besoins des municipalités, à savoir qu'il y a un besoin, mais pas de quel type de besoin de soins il s'agit. La seule mesure dont je dispose est que rien ne reste dans les entrepôts, mais va directement aux régions. Mais j'espère que nous aurons de meilleurs chiffres à terme, lorsque la situation se stabilisera"" - Nous clôturons la séance de questions et réponses et passons aux entretiens individuels",2020-04-10,NA,1
1,202004131,202004131_29,"L'écart correspond à la capacité disponible qui existe encore au niveau national. Elle est d'environ 20 % au niveau national. Toutes les régions disposent également d'une capacité disponible, mais celle-ci varie au sein du pays. C'est pourquoi le Conseil national de la santé et du bien-être est chargé de soutenir la coordination des soins intensifs, notamment en créant des tableaux de situation nationaux pour la coordination nationale des ressources. Au cours du week-end, le Conseil national de la santé et du bien-être a beaucoup travaillé sur la cartographie des ""ressources de transport médical volant"". Ce travail est effectué en collaboration avec les forces armées suédoises. En ce qui concerne les ressources de transport médical, nous pouvons soutenir la collaboration entre les régions, afin de les utiliser de la meilleure façon possible. Nous avons continué à acheter du matériel, pour un total d'un milliard de couronnes suédoises. Jeudi dernier, nous avons pu annoncer que nous avions acheté 12 millions de masques de protection fabriqués par Mölnlycke. Nous avons de nombreux partenariats. Un nouveau partenariat a été signé avec l'entreprise chimique Perstorp, qui fournira aux services de santé suédois des désinfectants pour les mains et les surfaces. Nous avons reçu environ 300 demandes de soutien, principalement de la part des régions, mais aussi de certaines municipalités. Nous avons traité ces demandes et répondu aux besoins urgents. Cependant, la quantité d'équipements de protection est très limitée. Pour que l'Office national de la santé et du bien-être puisse distribuer des équipements dans tout le pays, nous devons savoir quels sont les besoins et quels sont les équipements de protection auxquels les prestataires de soins de santé ont accès, ainsi que les équipements de protection manquants. Aujourd'hui, nous avons mis en place un système qui est activé pour distribuer des équipements de santé en fonction des besoins des municipalités. Ce soutien existait déjà pour les régions, mais nous avons activé le système correspondant pour les municipalités.",2020-04-13,NA,0
2,202004131,202004131_205,"L'écart correspond à la capacité disponible qui existe encore au niveau national. Elle est d'environ 20 % au niveau national. Toutes les régions disposent également d'une capacité disponible, mais celle-ci varie au sein du pays. C'est pourquoi le Conseil national de la santé et de la protection sociale est chargé de soutenir la coordination des soins intensifs, notamment en créant des tableaux de situation nationaux pour la coordination nationale des ressources. Au cours du week-end, le Conseil national de la santé et de la protection sociale a beaucoup travaillé sur la cartographie des ""ressources de transport médical volant"". Ce travail est réalisé en collaboration avec les forces armées suédoises. En ce qui concerne les ressources de transport médical, nous pouvons soutenir la collaboration entre les régions afin de les utiliser de la meilleure façon possible. Nous avons continué à acheter du matériel, pour un montant total de 1 milliard de couronnes suédoises. Jeudi dernier, nous avons annoncé l'achat de 12 millions de masques de protection fabriqués par Mölnlycke. Nous avons de nombreux partenariats. Un nouveau partenariat a été signé avec l'entreprise chimique Perstorp, qui fournira aux services de santé suédois des désinfectants pour les mains et les surfaces. Nous avons reçu environ 300 demandes de soutien, principalement de la part des régions, mais aussi de certaines municipalités. Nous avons traité ces demandes et répondu aux besoins urgents. Cependant, la quantité d'équipements de protection est très limitée. Pour que l'Office national de la santé et du bien-être puisse distribuer du matériel dans tout le pays, nous devons savoir quels sont les besoins et quels sont les équipements de protection auxquels les responsables des soins de santé ont accès, ainsi que les équipements de protection manquants. Aujourd'hui, nous avons mis en place un système qui est activé pour distribuer du matériel de soins de santé en fonction des besoins des municipalités. Ce soutien existait déjà pour les régions, mais nous avons activé le système correspondant pour les municipalités.",2020-04-13,NA,0
1,202004171,202004171_74,"Nous avons obtenu le temps que nous souhaitions pour pouvoir étendre les soins afin de travailler dans cette situation. Cependant, de nombreuses procédures et visites prévues pour les patients ont été reportées. La région et le Conseil national de la santé et du bien-être travaillent ensemble pour s'assurer que les régions les plus surchargées puissent recevoir l'aide des régions qui sont encore en mesure d'accueillir des patients. Nous fournissons un soutien dans la distribution nationale, qui peut avoir lieu avec le transport des patients. Nous avons élaboré un guide sur ce qui s'applique pendant, après et lors du nettoyage des transports. Ainsi, nous pouvons transporter des patients atteints de COVID-19 entre les hôpitaux du pays si nécessaire. Nous disposons d'un diagramme montrant la mission que nous avons pour compléter les municipalités et les régions en termes d'achat d'équipement de protection. La majeure partie est prise en charge par les municipalités, mais nous contribuerons si nécessaire. Cela montre que 1,6 million de gants ont été distribués, des protections respiratoires, des masques de protection, etc. Nous avons traité la majorité des cas reçus. Mais il est important d'avoir une perspective à court terme, car nous sommes confrontés à une situation de pénurie en Suède. Il existe une structure de collaboration entre les régions et les municipalités pour l'achat de matériel. Nous sommes convaincus que cela permettra d'améliorer l'accès au matériel nécessaire aux soins de santé. Enfin, je voudrais mentionner une initiative d'information que l'Office national de la santé et du bien-être a lancée à l'intention des municipalités, des régions et des maisons de repos. Nous fournissons un soutien sous forme de formation en ligne, d'aide à la connaissance et de conseils via ces sites web. Nous nous concentrons sur la diffusion de tous les bons exemples de travail efficace dans le domaine des soins aux personnes âgées et dans d'autres domaines. Il est important d'apprendre les uns des autres.",2020-04-17,NA,0
1,202004231,202004231_426,"Davantage de Stockholmois seront immunisés que dans les pays où moins de personnes ont été exposées. Alors que 23 % des habitants de Stockholm auraient été infectés en mai, la majorité d'entre eux ne l'ont pas été - ""Permettez-moi de souligner l'erreur commise par l'Agence suédoise de la santé publique, qui est quelque peu embarrassante pour la Suède compte tenu de sa position. Les statistiques suédoises sont-elles fiables ? - Ce n'est pas représentatif des statistiques suédoises. Il s'agit d'une erreur, nous travaillons beaucoup ces jours-ci et les choses évoluent rapidement. Nous n'avons pas vu l'erreur mais nous l'avons corrigée rapidement - tous nos calculs et toutes nos données sont disponibles en ligne. Compte tenu de cette transparence et du fait que des erreurs peuvent se produire, je pense qu'il est justifié - J'ai une question pour l'Agence de santé publique de la part de la radio polonaise. Vous parlez de l'importance de ralentir la propagation des infections dans la société. Vous recommandez aux individus de garder leurs distances, mais pourquoi vous abstenez-vous de recommander le port de masques dans les lieux publics ? Il existe des études, finlandaises et belges, qui indiquent que les masques sont efficaces pour protéger contre la propagation du COVID-19 - Notre évaluation est que les recommandations que nous avons sont les plus importantes et les plus nécessaires. Il est possible ou non de réaliser d'autres choses avec les masques, qui présentent d'autres risques s'ils ne sont pas utilisés correctement. Nous avons conclu que ce n'est pas quelque chose que nous recommandons pour le moment. Dans les prochains jours, nous en discuterons et il pourrait y avoir d'autres recommandations, en particulier dans le secteur des soins de santé"" - Cela peut-il être modifié à l'avenir ? - Si nous voyons des études qui indiquent que cela fait vraiment une différence, nous prendrons bien sûr position à ce sujet - mais pour le moment, nous n'avons pas vu que c'était quelque chose qui devait être recommandé à ce stade"" - Encore une fois, beaucoup de gens n'ont pas été ... L'atteinte de l'immunité collective dépend du nombre de personnes nécessaires pour y parvenir. Personne ne le sait, aucun pays ne l'a. Qu'est-ce qui est nécessaire ? Les personnes ont-elles eu une maladie bénigne, sont-elles protégées contre une maladie plus grave, etc. Il reste de nombreuses questions. Les études immunologiques en cours pourront fournir davantage de réponses.",2020-04-23,NA,0
