"group","doc_id","unique_phrase_id","sentences","date"
1,202003251,"202003251_36","En ce moment, des tests ont lieu dans les régions, en particulier dans le domaine des soins de santé. Deuxièmement, le personnel travaillant avec les personnes âgées, afin de prévenir les infections. Dans la période actuelle, cela n'entraîne pas de changements dans la gestion. La stratégie de travail reste la même : Nous continuons à essayer de réduire la vitesse de propagation de l'infection. Pour ce faire, il faut rester à la maison si l'on est malade. Vous pouvez vous concentrer sur d'autres choses, penser à voyager, et surtout ne pas rendre visite à des parents âgés pendant la période de Pâques. Les grands rassemblements sont interdits. Ces derniers jours, nous avons parlé des réglementations relatives aux activités dans les bars, les restaurants et les cafés - nous pensons qu'il est bon de travailler à domicile, mais cela doit convenir aux employés et aux employeurs, et il est important d'avoir un dialogue. Comme vous le savez, les écoles secondaires et les universités font partie de celles qui enseignent à distance. La deuxième question est d'éloigner l'infection des personnes âgées, notamment pour les soins de santé. Elles ne finiront peut-être pas dans une unité de soins intensifs, mais si c'est le cas, ce sera beaucoup de temps, de ressources et de souffrances pour elles et leur entourage. Il est important de maintenir les structures, afin que moins de personnes soient touchées. C'est ce que nous essayons de faire, éviter les pics élevés qui nécessitent beaucoup de ressources de soins de santé et causent beaucoup de problèmes, mais plutôt aplanir la courbe pour que le système de soins de santé ait le temps de s'adapter et de fournir des soins de manière satisfaisante. Comme Anders Tegnell l'a décrit, la situation est inchangée dans les régions métropolitaines, qui comptent le plus grand nombre de cas, c'est l'image que nous donnent les équipes de gestion spéciales, les médecins et d'autres forums. Nous avons parlé de l'importance de coopérer avec l'administration suédoise du matériel de défense pour s'assurer que le matériel arrive aussi efficacement que possible. L'administration suédoise du matériel de défense a une compétence remarquable dans ce domaine et nous avons une bonne expérience de la coopération dans le passé. Le soutien apporté par les forces de défense aux soins médicaux est une autre preuve de cette bonne coopération, qui repose sur une longue expérience de confiance.","2020-03-25"
1,202003301,"202003301_79","Si l'on regarde le nombre de personnes inscrites auprès du service public de l'emploi suédois en décembre 2019 et à la fin de l'année, il y avait environ 30 000 inscrits, et en mars il y en avait 38 000. Une augmentation, mais rien de spectaculaire pour l'instant. Il est difficile de dire combien il y en aura au final. Il est important de rappeler qu'il y a du travail, surtout dans les soins de santé, car on a besoin de beaucoup de monde, et il y a aussi des malades, mais aussi dans l'entreposage, les caissiers et les industries vertes, où il y a un besoin de main d'œuvre. Grâce à des formations de courte durée, certaines personnes pourraient se reconvertir et soulager les services de santé ou occuper des emplois dans l'industrie verte, ce qui serait favorable à l'économie. Comment pouvons-nous créer la durabilité ? C'est une question qui nous tient à cœur à la MSB. La semaine dernière, nous avons mis l'accent sur quelques domaines : comment protéger les soins de santé, par exemple, mais aussi d'autres choses. Que se passera-t-il si les écoles doivent fermer ? Nous avons décrit les soins nécessaires pour que les parents puissent s'occuper de leurs enfants. Nous avons insisté sur l'importance de la planification, afin que tout fonctionne en cas de pénurie de personnel ou d'autres situations susceptibles de se produire. Le travail est en cours et la DGSM dispose d'outils. Le troisième point concerne les personnes âgées et les autres personnes qui doivent agir pour minimiser les contacts et le risque d'infection. Nous avons mis l'accent sur la société civile, la Croix-Rouge, l'Église de Suède, les missions municipales et d'autres, derrière la dernière organisation, les 18 organisations de défense volontaires. Ensuite, la critique à la source - sur la prévention de la désinformation - nous devenons encore plus vulnérables dans cette situation, soyez vigilants si vous voyez des informations qui vous bouleversent ou vous rendent euphoriques. Nous avons atteint au moins la moitié de la population suédoise grâce à la publicité sur les médias sociaux. Cette semaine, nous serons encore plus visibles, car nous travaillons en étroite collaboration avec l'Agence suédoise de la santé publique et le Conseil social, et ce de plusieurs manières. Concentrez-vous maintenant : En partie sur un plan média large et complet où nous parlons d'information, de spots publicitaires, à la télévision, à la radio, dans la publicité, dans la presse du matin, dans le numérique, etc.","2020-03-30"
1,202004011,"202004011_289","La nouvelle réglementation pour le mouvement sportif s'applique jusqu'au 31 décembre. Envisagez-vous également d'interdire les matchs de football et les séances d'entraînement ? Non, nous ne l'avons pas fait et la raison en est que les gens qui font du sport et qui bougent ont un pouvoir énorme. Notre message est de bouger davantage, de faire plus d'exercice, mais dans des conditions sûres, afin de prévenir les effets négatifs de la promiscuité. Comment, en tant qu'organisateur d'un entraînement de football ou d'un événement alimentaire, pouvez-vous garantir les conditions requises pour réduire la propagation des infections ? Par exemple, qu'il y ait des espaces pour l'hygiène. Discutez de l'importance de l'hygiène. Si le contact corporel est nécessaire pendant l'entraînement, par exemple. Et qu'il n'y ait pas d'enfants, de jeunes ou d'adultes présentant des symptômes. Et même dans ces groupes, il y a des groupes à risque qui sont inclus dans la réglementation. Ces conseils doivent être lus dans leur intégralité ; ils s'adressent également aux organisateurs. Si vous ne pouvez pas organiser la manifestation, c'est une bonne chose qu'elle soit annulée ; si vous pouvez l'organiser, c'est une bonne chose que vous fassiez du sport"". À l'Agence de santé publique de Suède... Il a été annoncé que le personnel soignant des hôpitaux du comté de Kalmar avait été infecté. Avez-vous une idée de l'étendue de la maladie en Suède ?","2020-04-01"
1,202004021,"202004021_149","Nous pouvons obtenir des informations sur les volumes par le biais de références croisées - mais l'activité est en cours depuis longtemps"" - Les efforts d'information précédents ont-ils bien fonctionné ? - Oui, et ils ont été traduits en somali. Il y a aussi d'autres facteurs qui font qu'ils sont infectés - ce n'est pas seulement à cause d'un manque d'information. - Pensez-vous que les efforts d'information antérieurs ont bien fonctionné ? - Nous ne pouvons pas en parler aujourd'hui, mais des efforts d'information étaient en cours lorsque le virus a été identifié. - Aftonbladet : un nourrisson est mort du Covid-19 aux États-Unis, est-ce inattendu ? - Nous en avons déjà parlé, lorsque vous avez une maladie qui touche un million de personnes dans le monde en peu de temps, nous aurons des événements bizarres. Les qualifier d'inattendus ou non est presque une question sémantique. Mais nous assisterons à un certain nombre d'événements étranges. Cela ne signifie pas que le danger a été sous-estimé, mais que nous avons un nourrisson sur un million de personnes, ce qui se produit avec toutes les maladies"" Plusieurs enfants de moins de 17 ans sont également décédés en Europe. Le taux de mortalité diffère-t-il entre le COVID-19 et la grippe saisonnière ordinaire ? Cela dépend de la façon dont on compte. Si nous comptons le même nombre de personnes qui tombent malades à cause de la grippe saisonnière ordinaire et que nous le comparons au COVID-19, nous ne constatons pas de différences majeures. Nous constatons également que des personnes meurent de la grippe ordinaire à un jeune âge, mais cela n'est pas reconnu"" -Gothenburgsposten, vous avez tenu une réunion hier sur l'élargissement des tests. Nous avons reçu une mission du gouvernement sur cette question, que nous sommes en train d'analyser. Je n'ai pas participé à la réunion, mais des solutions auraient dû être trouvées. Cela ne se fera pas en un jour, mais il est important de mettre en adéquation les moyens mis à disposition, du côté des laboratoires, avec les moyens mis à disposition du côté des soins de santé. Ce travail a commencé.","2020-04-02"
1,202004031,"202004031_65","Veillez également à renouveler vos ordonnances en temps utile afin de ne pas manquer de médicaments et de préserver votre santé. C'est tout pour moi, merci. La DGSM produit chaque semaine un tableau national complet de la situation. Outre la protection civile et les soins aux malades, cette situation affecte toutes les autres activités du pays. La plupart des organisations importantes sur le plan social ont un impact sur leurs activités. Ce qu'elles ont en commun, c'est que les contraintes se sont accrues, que les ressources disponibles ont été mises à rude épreuve et que la charge de travail du personnel devient écrasante dans certains domaines. Il existe un risque accru de pénurie de médicaments en raison de la demande mondiale et des perturbations des flux. Ces perturbations devraient durer longtemps. Les tensions économiques risquent d'affecter le fonctionnement de la société, y compris les enfants dans des environnements vulnérables et les groupes économiquement défavorisés. Cette situation est bien plus grave que tout ce que nous avons connu ces dernières années et il est difficile de prédire ce qui pourrait arriver. Nous sommes bien placés pour y faire face si tout le monde prévoit d'importantes pénuries de personnel et surveille les biens dont il est dépendant. Il est nécessaire d'adopter une perspective qui englobe l'ensemble de la société. Les soins de santé en sont le noyau, mais la plupart des organisations sont interdépendantes. À l'heure actuelle, la MSB, ainsi que les secteurs de l'énergie et des télécommunications, s'attachent tout particulièrement à minimiser le risque de pénurie d'approvisionnement. Les secteurs de l'énergie et des télécommunications sont vitaux, et les soins de santé en particulier dépendent de cette infrastructure. Chez MSB, nous constatons également que certains besoins, tels que les équipements de protection, se retrouvent également dans d'autres organisations. Jusqu'à présent, il existe des ressources à l'intérieur et à l'extérieur du secteur des soins de santé, mais nous et d'autres autorités devons être prêts à faire des compromis entre les différents besoins pour que la société puisse fonctionner.","2020-04-03"
1,202004071,"202004071_243","Il existe un groupe à risque clair : les personnes âgées de plus de 70 ans. Mais au-delà de 85-90 ans, on se trouve dans un groupe à risque encore plus important. Mais les risques sont problématiques, car il n'existe pas de données qui indiquent qu'un groupe entier présente, par définition, un risque plus élevé que les autres. Vous devez donc parler à votre médecin et réfléchir à la manière dont vous avez réagi aux infections dans le passé, ou à un traitement antérieur. Pour savoir si vous êtes plus sensible à l'infection que la moyenne des gens. L'identification de tous les diabétiques a des conséquences étranges si l'on sait que la plupart des gens ne sont pas plus à risque. Nous avons fixé la limite à 70 ans. C'est peu. Dernière question : si les jeunes enfants ne sont pas très contagieux, pourquoi les grands-parents ne peuvent-ils pas s'en occuper ? Ce groupe est si sensible que nous ne voulons pas prendre de risques. Il s'agit de combler toutes les lacunes et d'utiliser à la fois les bretelles et les ceintures à tous les niveaux. Pour le personnel et les personnes qui sont en meilleure santé, qui passent normalement du temps avec les enfants et qui rencontrent probablement de nombreux virus au quotidien, nous considérons que le risque est faible. Nous n'en voyons pas du tout ici. - Nous allons réessayer avec Sydsvenskan sur le lien. - Vous m'entendez maintenant ? Bonjour ! J'ai une question pour Anders Tegnell : L'Agence suédoise de santé publique recommande clairement que même les personnes qui ne sont pas infectées ou qui n'ont pas de symptômes évitent les voyages inutiles. Dans le même temps, le conseil régional de Scanie a déclaré qu'il n'y avait pas de problème à voyager à Pâques, à condition que ce soit à l'intérieur de la Scanie. Êtes-vous d'accord ? Quand il s'agit de voyager, il s'agit de prendre ses responsabilités et de se demander si le voyage est vraiment nécessaire.","2020-04-07"
1,202004091,"202004091_110","Vous avez conclu des accords pour un milliard d'euros, mais quand ces livraisons seront-elles durables ? Il faut faire la distinction entre le travail et l'argent. Nous espérons que nous y arriverons. Mon objectif est que nous puissions répondre aux besoins aigus dans un avenir proche. Mais il m'est difficile de dire quand cela se produira. Mais nous parvenons à signer des accords que nous jugeons bons, nous obtenons des livraisons et nous pensons que nous obtiendrons d'importantes livraisons dans un avenir proche. Mais je resterai prudent quant à l'avenir. Merci, SVT. Anders Tegnell : En ce qui concerne le nombre d'habitants de la Suède qui ont ou qui ont eu un enfant, vous avez présenté des données provenant de Stockholm, où il s'est avéré que 2,5 personnes avaient un enfant, et maintenant 5 à 10, comme une estimation de la situation actuelle. Si l'on considère le nombre de personnes atteintes, quand aurons-nous des données sur les tests d'anticorps qui nous permettront de savoir combien de Suédois ont été infectés et peuvent être immunisés ? La semaine après Pâques, nous prélèverons des échantillons de sang au hasard dans les centres de santé, ce qui nous donnera de meilleures informations. La semaine après Pâques, nous prélevons des échantillons de sang au hasard dans les centres de santé, ce qui nous permettra d'obtenir de meilleures informations -TV2 Norvège, question posée au Conseil national de la santé et du bien-être. Parmi les patients en soins intensifs, combien de temps en moyenne chaque patient reste-t-il à l'hôpital ? Nous ne disposons pas vraiment de ces chiffres, nous sommes en train d'obtenir ces données, mais elles varient beaucoup. Je ne sais pas si Anders Tegnell a... On a parlé de 8 à 9 jours, mais il y a de grandes variations, certains patients entrent et sortent presque immédiatement, d'autres restent assez longtemps. Mais la moyenne que j'ai entendue à Göteborg en particulier se situait à peu près là.","2020-04-09"
1,202004131,"202004131_71","Oui. Nous avons un conseil général : un appel à tout le monde, pour que vous n'alliez pas à des événements plus importants en ce moment, où vous ne pouvez pas garder vos distances. C'est le conseil général que vous devez suivre. Ekot : Pensez-vous que les remises de diplômes et les manifestations étudiantes devraient être purement et simplement annulées ? Ce n'est pas vraiment à nous d'annuler les choses de cette manière. Nous avons notre conseil général qui continue de s'appliquer et qui s'appliquera probablement à l'avenir. Nous n'avons pas encore vu le pic, et nous ne savons pas à quelle vitesse il diminuera. Jusqu'à ce que nous sachions quel est le degré d'infection de la population, etc., il est difficile de supprimer le conseil de protéger les personnes âgées et que tout le monde devrait aider. Il est difficile de donner des conseils concrets, mais je pense que les conseils et les règles resteront en place pendant un certain temps encore"" - Certaines écoles qui ont annulé leurs cérémonies de remise des diplômes ont donc fait un choix judicieux ? - Je ne veux pas faire de commentaires à ce sujet. Il appartient à chacun de décider combien de temps il peut attendre avant de prendre une telle décision. - Parmi les personnes de moins de 70 ans en soins intensifs, quelle est la maladie à risque la plus fréquente ou le groupe à risque auquel elles appartiennent ? -En dessous de 70 ans, ce que j'ai vu, ceux qui sont traités en soins intensifs sont, comme mentionné précédemment, les maladies cardiovasculaires, le diabète, les maladies pulmonaires, qui sont à des âges très jeunes. Mais je ne peux pas dire jusqu'où cela va en dessous de 70 ans. -Mais les statistiques, l'hypertension artérielle est une barre haute dans votre graphique. Il est très courant que les personnes de plus de 70 ans en souffrent, mais une personne de 40 ans en bonne santé qui souffre d'hypertension doit-elle s'inquiéter ? C'est l'âge qui est le principal facteur de risque.","2020-04-13"
2,202004131,"202004131_247","Oui. Nous avons un conseil général : un appel à tout le monde, pour que vous n'alliez pas à des événements plus importants en ce moment, où vous ne pouvez pas garder vos distances. C'est le conseil général que vous devez suivre. Ekot : Pensez-vous que les remises de diplômes et les manifestations étudiantes devraient être complètement annulées ? Ce n'est pas vraiment à nous d'annuler les choses de cette manière. Nous avons notre conseil général qui continue de s'appliquer et qui s'appliquera probablement à l'avenir. Nous n'avons pas encore vu le pic, et nous ne savons pas à quelle vitesse il diminuera. Jusqu'à ce que nous sachions quel est le degré d'infection dans la population, etc., il est difficile de supprimer le conseil de protéger les personnes âgées et que tout le monde doit les aider. Il est difficile de donner des conseils concrets, mais on peut supposer que les conseils et les règles resteront en place pendant un certain temps encore"" - Les écoles qui ont annulé leurs cérémonies de remise des diplômes ont-elles fait un choix judicieux ? - Je ne veux pas faire de commentaires à ce sujet. C'est à chaque individu de décider combien de temps il peut attendre avant de prendre une telle décision. - Parmi les personnes de moins de 70 ans en soins intensifs, quelle est la maladie à risque la plus courante, ou le groupe à risque, auquel elles appartiennent ? -En dessous de 70 ans, ce que j'ai vu, ceux qui sont soignés en soins intensifs sont, comme mentionné précédemment, les maladies cardiovasculaires, le diabète, les maladies pulmonaires, qui sont à plusieurs âges. Mais jusqu'à 70 ans, je ne peux pas dire. -Mais les statistiques, l'hypertension artérielle est une barre haute dans votre graphique. Il est très courant que les personnes de plus de 70 ans en souffrent, mais une personne de 40 ans en bonne santé qui souffre d'hypertension doit-elle s'inquiéter ? C'est l'âge qui est le principal facteur de risque.","2020-04-13"
1,202004161,"202004161_47","Il est important d'être prudent dans ces environnements. Si l'on considère les personnes décédées, cela devient encore plus clair. Si l'on regarde la Suède, on constate qu'environ la moitié des personnes décédées en Suède proviennent de maisons de repos. La moitié à Stockholm, mais un peu moins si l'on considère l'ensemble du pays. Mais quoi qu'il en soit, une grande proportion provient de ces établissements. Nous y travaillons - il semble qu'à Stockholm, nous ayons réussi à atteindre la courbe bleue. Nous sommes loin d'avoir atteint la courbe en pointillés correspondant à la capacité maximale en matière de soins de santé, alors que la modélisation indiquait que nous aurions dépassé ce niveau depuis longtemps. Ce qui est nouveau aujourd'hui, c'est que nous avons examiné - nous commençons à examiner différentes choses en permanence. Nous nous sommes notamment penchés sur les compétitions, les matchs et autres, en particulier pour les enfants et les jeunes. La Confédération suédoise des sports a estimé que nos conseils généraux n'étaient pas clairs. Nous pensons qu'il est très important que les enfants et les jeunes sortent et s'entraînent. La différence entre la compétition et l'entraînement dans ce groupe n'est pas si grande. Mais nous avons fini par faire des exceptions et par dire ""vous pouvez jouer des matches dans les sports pour enfants et pour jeunes"", mais vous ne devez pas y venir si vous êtes malade, vous devez vous assurer qu'il n'y a pas de foule lors des matches - et il doit y avoir la possibilité d'une bonne hygiène en rapport avec les matches. Mais nous estimons que les risques sont très faibles et les bénéfices très importants pour les jeunes. Les matches des seniors, en revanche, doivent être reportés jusqu'à ce que la situation soit beaucoup plus calme. Enfin, il est très important de se rappeler que maintenant que nous avons un bon développement, nous ne devons pas le perdre. C'est un grand problème dans tout travail de prévention : lorsque les choses commencent à bien se passer, on pense qu'on peut s'arrêter, mais ce n'est pas possible. Restez chez vous si vous êtes malade, faites attention aux personnes de 70 ans et plus, elles peuvent sortir et marcher, mais n'ont pas beaucoup de contacts sociaux. Pensez aussi à l'hygiène de base et évitez les voyages inutiles, assurez-vous qu'il y a de la distance entre nous lorsque nous nous rencontrons. C'est tout pour aujourd'hui. Johanna : Nous continuons à augmenter la capacité des soins intensifs en Suède.","2020-04-16"
